HRBP,VENTTUBE,ERRCAUTER,INSUFFANESTH,INTUBATION,PVSAT,CO,MINVOL,HRSAT,HREKG,VENTALV,TPR,VENTLUNG,ARTCO2,HR,SAO2,CATECHOL,DISCONNECT,BP,HISTORY
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
NORMAL,LOW,True,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,NORMAL,False
HIGH,NORMAL,False,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,LOW,False,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
LOW,ZERO,False,False,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False,HIGH,False
LOW,HIGH,False,False,ONESIDED,LOW,LOW,ZERO,LOW,LOW,ZERO,LOW,NORMAL,HIGH,NORMAL,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,ONESIDED,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,LOW,ZERO,NORMAL,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,True,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
LOW,ZERO,False,True,NORMAL,HIGH,LOW,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False,NORMAL,False
LOW,HIGH,False,False,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,LOW,LOW,HIGH,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,ZERO,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,True,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,NORMAL,False
HIGH,LOW,True,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,True,False,NORMAL,LOW,NORMAL,ZERO,NORMAL,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,ZERO,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,NORMAL,False,False,ESOPHAGEAL,LOW,HIGH,LOW,HIGH,HIGH,LOW,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,HIGH,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,NORMAL,HIGH,LOW,HIGH,False,NORMAL,True
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,True
HIGH,LOW,False,False,ONESIDED,LOW,HIGH,ZERO,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,NORMAL,False
NORMAL,LOW,False,False,ONESIDED,LOW,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,ZERO,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,True,LOW,False
HIGH,ZERO,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,HIGH,False,False,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False,HIGH,False
HIGH,ZERO,False,False,NORMAL,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False,LOW,False
LOW,LOW,False,False,ESOPHAGEAL,LOW,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,False,NORMAL,False
HIGH,LOW,False,True,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,ZERO,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,True,HIGH,False
HIGH,HIGH,True,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,False,NORMAL,False
HIGH,ZERO,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False,HIGH,False
NORMAL,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,NORMAL,False
HIGH,ZERO,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,True,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,LOW,HIGH,LOW,HIGH,False,HIGH,False
HIGH,ZERO,False,False,NORMAL,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,NORMAL,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,LOW,False,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,False,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
LOW,ZERO,False,False,NORMAL,NORMAL,LOW,HIGH,LOW,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL,True,LOW,False
HIGH,ZERO,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False,NORMAL,False
HIGH,LOW,False,True,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,True
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,True,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
NORMAL,LOW,True,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,LOW,False,False,ESOPHAGEAL,LOW,NORMAL,ZERO,LOW,LOW,ZERO,LOW,LOW,HIGH,NORMAL,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,ESOPHAGEAL,NORMAL,LOW,LOW,HIGH,HIGH,LOW,LOW,ZERO,LOW,HIGH,NORMAL,HIGH,False,LOW,False
HIGH,ZERO,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,NORMAL,False
LOW,ZERO,False,False,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,True,HIGH,False
LOW,LOW,False,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False,LOW,False
LOW,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,NORMAL,False,LOW,False
HIGH,ZERO,True,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,True,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,LOW,LOW,HIGH,False,LOW,False
HIGH,ZERO,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,HIGH,HIGH,ZERO,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,HIGH,HIGH,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,NORMAL,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,LOW,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,True,False,ONESIDED,LOW,HIGH,LOW,NORMAL,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,True,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,True,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
LOW,ZERO,False,False,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False,NORMAL,False
HIGH,LOW,True,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,HIGH,False,True,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,True,True,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,ZERO,False,True,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,True,NORMAL,False
LOW,LOW,False,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,NORMAL,False,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,LOW,False,False,NORMAL,LOW,HIGH,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False,LOW,False
HIGH,ZERO,True,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,LOW,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,NORMAL,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,ESOPHAGEAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,LOW,HIGH,HIGH,LOW,HIGH,False,NORMAL,False
LOW,ZERO,False,False,ONESIDED,LOW,LOW,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,LOW,NORMAL,True,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,ZERO,False,False,NORMAL,HIGH,LOW,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,True,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,ESOPHAGEAL,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,LOW,False,True,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,NORMAL,LOW,HIGH,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,HIGH,False,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,ZERO,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,LOW,HIGH,True,HIGH,False
LOW,ZERO,False,False,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,LOW,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
NORMAL,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,True,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,ZERO,False,False,NORMAL,HIGH,LOW,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,LOW,HIGH,HIGH,True,LOW,False
LOW,LOW,False,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False,LOW,False
LOW,LOW,False,False,ESOPHAGEAL,LOW,NORMAL,LOW,LOW,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,LOW,NORMAL,False,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,ZERO,False,True,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,True,HIGH,False
LOW,LOW,True,False,NORMAL,LOW,NORMAL,ZERO,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,NORMAL,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,ZERO,False,False,ONESIDED,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,NORMAL,ZERO,NORMAL,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,True,True,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,True
HIGH,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,ONESIDED,LOW,NORMAL,NORMAL,HIGH,HIGH,NORMAL,LOW,ZERO,NORMAL,HIGH,LOW,HIGH,False,LOW,False
LOW,LOW,False,False,ESOPHAGEAL,LOW,HIGH,ZERO,HIGH,NORMAL,ZERO,HIGH,LOW,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,HIGH,False,False,NORMAL,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,False,LOW,True
HIGH,LOW,False,False,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,True,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,True,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
LOW,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,NORMAL,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False,LOW,True
HIGH,LOW,False,False,ESOPHAGEAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,LOW,HIGH,HIGH,LOW,HIGH,False,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,ZERO,False,False,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False,NORMAL,True
HIGH,HIGH,False,False,NORMAL,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False,LOW,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,True,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,ZERO,False,False,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,True,HIGH,False
HIGH,LOW,False,False,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,NORMAL,False
LOW,ZERO,True,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,HIGH,NORMAL,LOW,NORMAL,NORMAL,NORMAL,NORMAL,True,NORMAL,False
HIGH,ZERO,False,False,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False,NORMAL,False
HIGH,LOW,False,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,False
LOW,LOW,False,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False,LOW,False
