E,F,G,H,I,J,O
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Divorced,Adm-clerical,Not-in-family,Black,Female,<=50K
9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
9,Never-married,Other-service,Own-child,White,Male,<=50K
13,Never-married,Adm-clerical,Own-child,White,Female,<=50K
5,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
9,Divorced,Sales,Unmarried,Black,Female,<=50K
11,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
13,Never-married,Protective-serv,Not-in-family,Black,Female,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
10,Never-married,Adm-clerical,Other-relative,White,Male,<=50K
9,Divorced,Other-service,Not-in-family,Black,Female,<=50K
4,Widowed,Other-service,Not-in-family,White,Female,<=50K
10,Never-married,Adm-clerical,Own-child,White,Female,<=50K
10,Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
12,Divorced,Craft-repair,Not-in-family,White,Male,<=50K
10,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
10,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
2,Separated,Priv-house-serv,Other-relative,White,Female,<=50K
13,Divorced,Sales,Not-in-family,White,Male,<=50K
11,Never-married,Tech-support,Not-in-family,White,Female,<=50K
10,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
13,Never-married,Other-service,Other-relative,White,Female,<=50K
13,Widowed,Sales,Unmarried,White,Female,<=50K
13,Separated,Adm-clerical,Unmarried,White,Female,<=50K
12,Never-married,Transport-moving,Not-in-family,Black,Male,<=50K
9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
7,Never-married,Adm-clerical,Own-child,White,Female,<=50K
9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,<=50K
15,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
11,Divorced,Sales,Unmarried,White,Female,<=50K
10,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
10,Divorced,Prof-specialty,Not-in-family,White,Female,<=50K
9,Never-married,Sales,Unmarried,White,Female,<=50K
6,Never-married,Sales,Other-relative,White,Male,<=50K
15,Never-married,Exec-managerial,Not-in-family,White,Male,>50K
9,Never-married,Sales,Not-in-family,White,Male,<=50K
11,Divorced,Prof-specialty,Unmarried,White,Male,>50K
10,Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
13,Divorced,Exec-managerial,Not-in-family,White,Female,<=50K
14,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
13,Never-married,Prof-specialty,Own-child,White,Male,<=50K
13,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
13,Divorced,Exec-managerial,Unmarried,White,Female,>50K
9,Married-civ-spouse,Sales,Husband,White,Male,<=50K
10,Widowed,Prof-specialty,Unmarried,White,Female,<=50K
6,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,<=50K
9,Divorced,Machine-op-inspct,Not-in-family,Black,Male,<=50K
10,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,>50K
9,Divorced,Exec-managerial,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
10,Divorced,Adm-clerical,Unmarried,White,Female,<=50K
14,Never-married,Exec-managerial,Not-in-family,Black,Female,<=50K
9,Married-civ-spouse,noValueSetHere123156456,Wife,White,Female,<=50K
9,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Divorced,Machine-op-inspct,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
12,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
10,Divorced,Prof-specialty,Not-in-family,White,Female,<=50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
9,Widowed,Other-service,Not-in-family,White,Female,<=50K
11,Divorced,Exec-managerial,Not-in-family,White,Female,<=50K
4,Married-civ-spouse,Craft-repair,Husband,Black,Male,<=50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
3,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,<=50K
10,Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
6,Divorced,Machine-op-inspct,Not-in-family,White,Female,<=50K
7,Never-married,Craft-repair,Own-child,White,Male,<=50K
14,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>50K
12,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
6,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Divorced,Tech-support,Unmarried,Black,Female,<=50K
9,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50K
10,Widowed,Adm-clerical,Unmarried,White,Female,<=50K
14,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
9,Never-married,Other-service,Not-in-family,Black,Male,<=50K
9,Never-married,Adm-clerical,Unmarried,White,Female,<=50K
9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,<=50K
5,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
13,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
3,Never-married,noValueSetHere123156456,Unmarried,White,Female,<=50K
10,Divorced,Handlers-cleaners,Own-child,White,Male,<=50K
4,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Separated,Other-service,Not-in-family,Black,Female,<=50K
10,Never-married,Sales,Own-child,White,Male,<=50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Separated,Other-service,Unmarried,White,Female,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
13,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
2,Never-married,Farming-fishing,Not-in-family,Other,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
9,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
9,Married-civ-spouse,Sales,Husband,White,Male,>50K
13,Never-married,Prof-specialty,Other-relative,White,Female,<=50K
3,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
10,Married-civ-spouse,Protective-serv,Husband,White,Male,<=50K
3,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
12,Married-civ-spouse,Sales,Husband,White,Male,>50K
10,Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
11,Divorced,Handlers-cleaners,Unmarried,White,Male,<=50K
10,Divorced,Adm-clerical,Not-in-family,Black,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
9,Never-married,Machine-op-inspct,Own-child,White,Male,<=50K
9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,<=50K
12,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Never-married,Protective-serv,Own-child,Black,Male,<=50K
10,Separated,Adm-clerical,Unmarried,Black,Female,<=50K
10,Divorced,Adm-clerical,Unmarried,White,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Never-married,Other-service,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
7,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
10,Never-married,Protective-serv,Own-child,White,Male,<=50K
9,Never-married,Sales,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
16,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,>50K
10,Never-married,Craft-repair,Own-child,White,Male,<=50K
10,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,>50K
7,Never-married,Other-service,Own-child,White,Male,<=50K
12,Never-married,Sales,Own-child,White,Female,<=50K
9,Never-married,Other-service,Own-child,White,Male,<=50K
7,Separated,Machine-op-inspct,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
12,Never-married,Sales,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
9,Never-married,Transport-moving,Own-child,Black,Male,<=50K
10,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
13,Never-married,Sales,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Divorced,Sales,Not-in-family,White,Male,<=50K
13,Never-married,Other-service,Own-child,White,Female,<=50K
11,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
11,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
15,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Never-married,Sales,Not-in-family,White,Female,<=50K
9,Never-married,Farming-fishing,Not-in-family,White,Male,<=50K
9,Divorced,Other-service,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
7,Never-married,Transport-moving,Own-child,White,Male,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
11,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,<=50K
9,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
9,Married-civ-spouse,Sales,Husband,White,Male,<=50K
10,Divorced,Other-service,Not-in-family,White,Male,<=50K
10,Widowed,Prof-specialty,Not-in-family,White,Male,<=50K
5,Never-married,Machine-op-inspct,Own-child,Black,Female,<=50K
15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,<=50K
10,Divorced,Adm-clerical,Unmarried,White,Female,<=50K
7,Never-married,Other-service,Own-child,White,Male,<=50K
13,Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
16,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
14,Never-married,Adm-clerical,Not-in-family,Black,Female,<=50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
12,Divorced,Other-service,Not-in-family,White,Female,<=50K
11,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
10,Divorced,Tech-support,Unmarried,White,Female,<=50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
10,Never-married,Sales,Own-child,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Wife,White,Female,>50K
14,Divorced,Prof-specialty,Not-in-family,White,Female,<=50K
9,Divorced,Craft-repair,Unmarried,White,Male,<=50K
10,Married-spouse-absent,Sales,Own-child,Other,Female,<=50K
9,Never-married,Other-service,Not-in-family,White,Male,<=50K
5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
4,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
10,Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
13,Divorced,Sales,Unmarried,White,Female,<=50K
14,Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
13,Never-married,Adm-clerical,Not-in-family,Black,Female,<=50K
11,Divorced,Exec-managerial,Own-child,White,Male,<=50K
7,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
12,Married-civ-spouse,Sales,Husband,White,Male,<=50K
10,Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
14,Divorced,Prof-specialty,Not-in-family,White,Female,<=50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Married-civ-spouse,Sales,Husband,White,Male,<=50K
11,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
9,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
10,Widowed,Sales,Unmarried,White,Female,>50K
14,Never-married,Prof-specialty,Not-in-family,White,Female,>50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Never-married,Farming-fishing,Unmarried,White,Male,<=50K
9,Never-married,Handlers-cleaners,Own-child,White,Female,<=50K
10,Never-married,Sales,Own-child,White,Female,<=50K
9,Never-married,Other-service,Own-child,Black,Male,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
7,Never-married,Farming-fishing,Not-in-family,White,Male,<=50K
10,Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
3,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,<=50K
4,Married-civ-spouse,noValueSetHere123156456,Wife,White,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
11,Married-civ-spouse,Farming-fishing,Husband,White,Male,>50K
9,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
13,Never-married,Prof-specialty,Not-in-family,Black,Female,<=50K
10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>50K
9,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
6,Never-married,Transport-moving,Not-in-family,Black,Female,<=50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
9,Separated,Other-service,Not-in-family,White,Female,<=50K
9,Widowed,Adm-clerical,Unmarried,White,Female,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
10,Married-civ-spouse,Sales,Husband,Black,Male,>50K
15,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Widowed,Farming-fishing,Not-in-family,White,Male,>50K
13,Widowed,Exec-managerial,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,>50K
10,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
12,Separated,Craft-repair,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Never-married,Adm-clerical,Other-relative,White,Female,<=50K
9,Never-married,Other-service,Unmarried,Black,Female,<=50K
9,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
3,Married-civ-spouse,Other-service,Wife,White,Female,<=50K
8,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,<=50K
11,Married-civ-spouse,Tech-support,Wife,White,Female,<=50K
9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
10,Never-married,Exec-managerial,Not-in-family,White,Male,>50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
3,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,<=50K
9,Never-married,Adm-clerical,Own-child,White,Female,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
13,Divorced,Adm-clerical,Unmarried,White,Male,<=50K
7,Never-married,Other-service,Own-child,White,Female,<=50K
7,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,>50K
10,Never-married,Other-service,Other-relative,Other,Female,<=50K
9,Divorced,Adm-clerical,Unmarried,White,Female,<=50K
16,Widowed,Prof-specialty,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>50K
13,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
10,Never-married,Tech-support,Unmarried,Black,Female,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
10,Divorced,Protective-serv,Unmarried,White,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
6,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
9,Divorced,Exec-managerial,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
7,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,<=50K
4,Never-married,Sales,Own-child,White,Male,<=50K
13,Divorced,Exec-managerial,Unmarried,Black,Female,<=50K
7,Widowed,Other-service,Not-in-family,White,Female,<=50K
10,Never-married,noValueSetHere123156456,Other-relative,Asian-Pac-Islander,Male,<=50K
14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,<=50K
2,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Never-married,Craft-repair,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
6,Never-married,Sales,Not-in-family,White,Female,<=50K
10,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
13,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,<=50K
11,Never-married,Other-service,Own-child,White,Male,<=50K
6,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
6,Never-married,Craft-repair,Not-in-family,Black,Male,<=50K
9,Divorced,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
12,Divorced,Exec-managerial,Own-child,White,Female,<=50K
10,Never-married,Adm-clerical,Own-child,White,Male,<=50K
11,Divorced,Adm-clerical,Unmarried,White,Female,>50K
9,Never-married,Sales,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Widowed,Adm-clerical,Not-in-family,White,Female,<=50K
16,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
9,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
10,Never-married,Other-service,Not-in-family,White,Male,<=50K
12,Never-married,Tech-support,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Wife,Black,Female,>50K
9,Divorced,Other-service,Unmarried,White,Female,<=50K
14,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,>50K
10,Married-civ-spouse,Adm-clerical,Wife,White,Female,>50K
9,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
9,Never-married,noValueSetHere123156456,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Never-married,Adm-clerical,Other-relative,White,Male,<=50K
10,Widowed,Sales,Not-in-family,White,Female,>50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
10,Never-married,Transport-moving,Not-in-family,White,Male,<=50K
9,Never-married,Other-service,Own-child,White,Male,<=50K
13,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
7,Never-married,noValueSetHere123156456,Not-in-family,Black,Male,<=50K
3,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
9,Never-married,Handlers-cleaners,Other-relative,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
8,Widowed,Adm-clerical,Not-in-family,White,Female,<=50K
10,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,<=50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
9,Divorced,Other-service,Own-child,White,Female,<=50K
10,Married-civ-spouse,Craft-repair,Husband,Black,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Divorced,Craft-repair,Not-in-family,White,Male,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,>50K
13,Divorced,Prof-specialty,Not-in-family,White,Male,<=50K
10,Never-married,Sales,Own-child,Black,Female,<=50K
14,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
4,Never-married,Other-service,Unmarried,Black,Female,<=50K
10,Married-spouse-absent,Farming-fishing,Unmarried,White,Female,<=50K
15,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
16,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
4,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,<=50K
9,Never-married,Craft-repair,Other-relative,White,Male,<=50K
6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
9,Never-married,Priv-house-serv,Not-in-family,White,Female,<=50K
9,Divorced,Craft-repair,Not-in-family,White,Male,<=50K
3,Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
9,Never-married,Other-service,Own-child,White,Female,<=50K
9,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
9,Never-married,Craft-repair,Own-child,Black,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Divorced,Tech-support,Not-in-family,White,Female,<=50K
12,Separated,Sales,Unmarried,White,Male,<=50K
9,Married-civ-spouse,noValueSetHere123156456,Wife,White,Female,<=50K
13,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
13,Widowed,Adm-clerical,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
10,Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
10,Never-married,Other-service,Own-child,White,Female,<=50K
9,Separated,Craft-repair,Unmarried,Black,Male,<=50K
4,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
10,Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
9,Never-married,Transport-moving,Not-in-family,White,Male,<=50K
6,Never-married,Handlers-cleaners,Other-relative,White,Male,<=50K
10,Never-married,Adm-clerical,Own-child,White,Female,<=50K
13,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
13,Never-married,Adm-clerical,Not-in-family,Black,Female,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Never-married,Handlers-cleaners,Other-relative,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,>50K
13,Widowed,Prof-specialty,Not-in-family,Black,Female,<=50K
11,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
3,Never-married,Transport-moving,Not-in-family,White,Male,<=50K
13,Never-married,Prof-specialty,Own-child,White,Female,<=50K
9,Widowed,Other-service,Not-in-family,White,Female,<=50K
9,Widowed,Protective-serv,Not-in-family,White,Male,<=50K
10,Never-married,Tech-support,Not-in-family,White,Female,>50K
9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
13,Divorced,Tech-support,Own-child,White,Male,<=50K
9,Married-civ-spouse,Sales,Husband,White,Male,>50K
10,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Never-married,Farming-fishing,Unmarried,White,Male,<=50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,<=50K
9,Divorced,noValueSetHere123156456,Not-in-family,White,Female,<=50K
14,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
9,Never-married,Machine-op-inspct,Other-relative,White,Female,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
13,Married-civ-spouse,Sales,Wife,White,Female,>50K
12,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
13,Never-married,Prof-specialty,Own-child,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Never-married,Tech-support,Not-in-family,Black,Female,<=50K
10,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
13,Never-married,Tech-support,Not-in-family,White,Male,<=50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
14,Married-civ-spouse,Sales,Husband,White,Male,>50K
10,Married-civ-spouse,Adm-clerical,Wife,White,Female,>50K
9,Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
12,Never-married,noValueSetHere123156456,Not-in-family,White,Female,<=50K
10,Divorced,Machine-op-inspct,Unmarried,White,Female,<=50K
9,Separated,Craft-repair,Unmarried,Black,Male,<=50K
13,Divorced,Machine-op-inspct,Other-relative,White,Male,<=50K
7,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,>50K
10,Married-civ-spouse,Sales,Husband,White,Male,>50K
14,Divorced,Prof-specialty,Unmarried,White,Female,>50K
10,Never-married,Sales,Own-child,White,Female,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,<=50K
9,Never-married,Handlers-cleaners,Unmarried,Asian-Pac-Islander,Male,<=50K
7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
9,Never-married,Transport-moving,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,>50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
11,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,<=50K
