F,G,H,J,M,O
Never-married,Farming-fishing,Unmarried,Female,46,<=50K
Divorced,Other-service,Not-in-family,Female,32,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,55,<=50K
Never-married,Handlers-cleaners,Other-relative,Female,60,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,50,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,50,>50K
Widowed,Prof-specialty,Unmarried,Female,40,<=50K
Divorced,Other-service,Not-in-family,Female,35,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,50,>50K
Divorced,Exec-managerial,Not-in-family,Male,50,>50K
Married-civ-spouse,Transport-moving,Husband,Male,50,<=50K
Divorced,Adm-clerical,Unmarried,Female,44,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,40,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,noValueSetHere123156456,Not-in-family,Female,15,<=50K
Married-civ-spouse,Tech-support,Husband,Male,30,>50K
Separated,Adm-clerical,Unmarried,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Married-civ-spouse,Sales,Husband,Male,30,<=50K
Never-married,Exec-managerial,Own-child,Female,30,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Never-married,Exec-managerial,Not-in-family,Male,45,>50K
Divorced,Tech-support,Not-in-family,Female,55,<=50K
Widowed,Exec-managerial,Unmarried,Female,30,<=50K
Never-married,Handlers-cleaners,Own-child,Male,50,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,70,>50K
Never-married,Prof-specialty,Not-in-family,Male,40,<=50K
Divorced,Sales,Unmarried,Female,60,<=50K
Never-married,Prof-specialty,Not-in-family,Female,25,<=50K
Never-married,Other-service,Not-in-family,Female,35,<=50K
Never-married,Priv-house-serv,Own-child,Female,25,<=50K
Separated,Adm-clerical,Unmarried,Female,40,<=50K
Never-married,Priv-house-serv,Not-in-family,Female,40,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,40,>50K
Never-married,Other-service,Other-relative,Male,40,<=50K
Never-married,Handlers-cleaners,Own-child,Male,30,<=50K
Never-married,Adm-clerical,Not-in-family,Female,45,<=50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,36,>50K
Widowed,Exec-managerial,Unmarried,Female,60,<=50K
Never-married,Handlers-cleaners,Own-child,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,40,>50K
Separated,Sales,Unmarried,Female,45,<=50K
Never-married,Other-service,Own-child,Female,40,<=50K
Never-married,Farming-fishing,Own-child,Male,37,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,99,<=50K
Never-married,Farming-fishing,Own-child,Male,16,<=50K
Married-civ-spouse,Sales,Husband,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-spouse-absent,Handlers-cleaners,Other-relative,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Never-married,Prof-specialty,Not-in-family,Female,35,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,40,>50K
Married-civ-spouse,Exec-managerial,Wife,Female,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Never-married,Machine-op-inspct,Unmarried,Female,40,<=50K
Married-civ-spouse,Machine-op-inspct,Wife,Female,40,>50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,>50K
Widowed,Adm-clerical,Not-in-family,Female,24,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Farming-fishing,Husband,Male,60,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,45,>50K
Married-civ-spouse,Prof-specialty,Wife,Female,20,>50K
Divorced,Adm-clerical,Own-child,Female,40,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,42,>50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Separated,Farming-fishing,Other-relative,Male,60,<=50K
Never-married,Exec-managerial,Other-relative,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,60,<=50K
Never-married,Prof-specialty,Not-in-family,Female,60,<=50K
Widowed,Exec-managerial,Not-in-family,Female,10,<=50K
Never-married,Protective-serv,Own-child,Male,40,<=50K
Married-spouse-absent,Sales,Not-in-family,Male,22,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,48,<=50K
Never-married,Sales,Own-child,Female,40,<=50K
Separated,noValueSetHere123156456,Unmarried,Female,40,<=50K
Never-married,Machine-op-inspct,Own-child,Male,40,<=50K
Separated,noValueSetHere123156456,Other-relative,Female,40,<=50K
Married-spouse-absent,Prof-specialty,Other-relative,Male,40,<=50K
Never-married,Machine-op-inspct,Not-in-family,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,55,<=50K
Never-married,Protective-serv,Unmarried,Male,45,<=50K
Never-married,Other-service,Own-child,Female,27,<=50K
Married-civ-spouse,Machine-op-inspct,Wife,Female,40,<=50K
Separated,Other-service,Unmarried,Female,40,<=50K
Married-civ-spouse,Sales,Own-child,Male,32,<=50K
Never-married,Handlers-cleaners,Not-in-family,Male,48,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,55,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Divorced,Adm-clerical,Not-in-family,Female,24,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Transport-moving,Not-in-family,Male,50,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,60,<=50K
Never-married,Prof-specialty,Not-in-family,Female,45,<=50K
Never-married,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,75,>50K
Never-married,Other-service,Other-relative,Male,35,<=50K
Never-married,Prof-specialty,Not-in-family,Female,40,<=50K
Separated,Adm-clerical,Not-in-family,Male,45,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,40,<=50K
Divorced,Exec-managerial,Not-in-family,Female,40,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,70,>50K
Married-spouse-absent,Other-service,Not-in-family,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,25,<=50K
Never-married,noValueSetHere123156456,Own-child,Female,40,<=50K
Never-married,Protective-serv,Own-child,Male,40,<=50K
Widowed,Adm-clerical,Unmarried,Female,40,<=50K
Divorced,Machine-op-inspct,Not-in-family,Female,20,<=50K
Never-married,Farming-fishing,Other-relative,Male,35,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,55,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,noValueSetHere123156456,Own-child,Male,2,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,44,>50K
Married-civ-spouse,Farming-fishing,Husband,Male,60,>50K
Married-civ-spouse,Craft-repair,Husband,Male,45,>50K
Married-civ-spouse,Farming-fishing,Husband,Male,84,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,35,<=50K
Divorced,Machine-op-inspct,Not-in-family,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Prof-specialty,Own-child,Female,35,<=50K
Never-married,noValueSetHere123156456,Own-child,Female,40,<=50K
Divorced,Other-service,Not-in-family,Male,48,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,38,>50K
Married-civ-spouse,Adm-clerical,Husband,Male,45,>50K
Separated,Sales,Unmarried,Female,37,<=50K
Never-married,Tech-support,Not-in-family,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Never-married,noValueSetHere123156456,Not-in-family,Female,12,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,55,<=50K
Divorced,Exec-managerial,Not-in-family,Male,50,>50K
Divorced,Prof-specialty,Unmarried,Male,40,<=50K
Never-married,Exec-managerial,Not-in-family,Male,40,<=50K
Divorced,Transport-moving,Not-in-family,Female,40,<=50K
Widowed,Machine-op-inspct,Not-in-family,Female,32,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,50,<=50K
Married-civ-spouse,Tech-support,Husband,Male,20,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Never-married,Prof-specialty,Own-child,Female,27,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,30,<=50K
Never-married,Exec-managerial,Not-in-family,Male,40,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,55,<=50K
Married-civ-spouse,Sales,Husband,Male,45,>50K
Married-civ-spouse,Craft-repair,Husband,Male,70,>50K
Divorced,noValueSetHere123156456,Unmarried,Male,45,<=50K
Never-married,Other-service,Own-child,Male,8,<=50K
Married-civ-spouse,Adm-clerical,Wife,Female,40,>50K
Married-civ-spouse,Priv-house-serv,Wife,Female,40,<=50K
Never-married,Sales,Own-child,Female,15,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-spouse-absent,Protective-serv,Not-in-family,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Divorced,Prof-specialty,Not-in-family,Male,40,<=50K
Never-married,Machine-op-inspct,Not-in-family,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,<=50K
Divorced,Tech-support,Unmarried,Female,38,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,50,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Never-married,Exec-managerial,Unmarried,Male,50,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-spouse-absent,Machine-op-inspct,Unmarried,Female,40,<=50K
Married-spouse-absent,Machine-op-inspct,Unmarried,Female,40,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,40,>50K
Never-married,Prof-specialty,Not-in-family,Female,55,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,>50K
Never-married,Transport-moving,Own-child,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,55,>50K
Married-civ-spouse,Craft-repair,Husband,Male,60,>50K
Never-married,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,45,>50K
Married-civ-spouse,Sales,Wife,Female,40,>50K
Never-married,Other-service,Own-child,Female,16,<=50K
Married-civ-spouse,Other-service,Wife,Female,15,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Divorced,Sales,Not-in-family,Male,60,<=50K
Never-married,Prof-specialty,Own-child,Female,30,<=50K
Widowed,Sales,Not-in-family,Female,50,>50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Never-married,Farming-fishing,Unmarried,Male,40,<=50K
Never-married,Exec-managerial,Own-child,Female,45,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,63,<=50K
Married-spouse-absent,Exec-managerial,Not-in-family,Female,50,>50K
Married-civ-spouse,Sales,Husband,Male,60,<=50K
Never-married,Protective-serv,Not-in-family,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,50,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,<=50K
Never-married,Prof-specialty,Own-child,Female,55,<=50K
Married-civ-spouse,Other-service,Husband,Male,50,<=50K
Married-civ-spouse,Sales,Husband,Male,25,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,35,>50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Never-married,Farming-fishing,Unmarried,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Sales,Own-child,Female,13,<=50K
Never-married,Craft-repair,Own-child,Male,40,<=50K
Widowed,Sales,Not-in-family,Male,20,<=50K
Divorced,Prof-specialty,Unmarried,Female,32,<=50K
Never-married,Sales,Not-in-family,Male,35,<=50K
Divorced,Transport-moving,Not-in-family,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,22,>50K
Divorced,Sales,Not-in-family,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,45,<=50K
Never-married,Sales,Own-child,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,20,<=50K
Widowed,Other-service,Not-in-family,Female,35,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,noValueSetHere123156456,Unmarried,Female,40,<=50K
Never-married,Sales,Own-child,Female,9,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,30,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Machine-op-inspct,Own-child,Male,40,<=50K
Never-married,noValueSetHere123156456,Not-in-family,Female,38,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,22,>50K
Divorced,Transport-moving,Unmarried,Male,40,<=50K
Divorced,Exec-managerial,Unmarried,Male,48,>50K
Divorced,Sales,Not-in-family,Male,45,>50K
Married-civ-spouse,Craft-repair,Husband,Male,45,<=50K
Never-married,Handlers-cleaners,Own-child,Male,40,<=50K
Never-married,Tech-support,Not-in-family,Female,15,<=50K
Never-married,noValueSetHere123156456,Other-relative,Male,40,<=50K
Divorced,Other-service,Not-in-family,Female,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,60,>50K
Divorced,Prof-specialty,Not-in-family,Female,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,45,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Prof-specialty,Not-in-family,Female,25,<=50K
Married-civ-spouse,Sales,Husband,Male,50,>50K
Married-civ-spouse,Adm-clerical,Wife,Female,40,>50K
Married-civ-spouse,Craft-repair,Husband,Male,41,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,50,>50K
Divorced,Exec-managerial,Unmarried,Female,45,<=50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Divorced,Prof-specialty,Not-in-family,Male,36,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Exec-managerial,Own-child,Female,40,<=50K
Never-married,Adm-clerical,Own-child,Male,40,<=50K
Married-spouse-absent,Adm-clerical,Own-child,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,55,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Other-service,Own-child,Female,36,<=50K
Widowed,Craft-repair,Not-in-family,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,45,<=50K
Married-civ-spouse,Sales,Husband,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,35,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,35,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,35,>50K
Married-civ-spouse,Craft-repair,Husband,Male,45,>50K
Separated,noValueSetHere123156456,Not-in-family,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,38,>50K
Married-civ-spouse,Sales,Husband,Male,40,<=50K
Never-married,Other-service,Not-in-family,Male,35,<=50K
Separated,Other-service,Unmarried,Female,39,<=50K
Never-married,Exec-managerial,Own-child,Male,25,<=50K
Never-married,Exec-managerial,Not-in-family,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,43,<=50K
Never-married,Other-service,Not-in-family,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,45,>50K
Married-civ-spouse,noValueSetHere123156456,Wife,Female,8,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,99,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,35,<=50K
Never-married,Sales,Own-child,Male,24,<=50K
Never-married,Sales,Unmarried,Female,55,<=50K
Married-civ-spouse,Sales,Wife,Female,35,<=50K
Never-married,Other-service,Own-child,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,40,>50K
Never-married,Other-service,Not-in-family,Female,35,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Divorced,Priv-house-serv,Not-in-family,Female,4,<=50K
Divorced,Exec-managerial,Unmarried,Female,36,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,30,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Married-civ-spouse,Other-service,Husband,Male,32,<=50K
Never-married,Exec-managerial,Not-in-family,Male,45,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,>50K
Widowed,Exec-managerial,Not-in-family,Female,40,>50K
Divorced,Exec-managerial,Unmarried,Male,50,<=50K
Separated,Handlers-cleaners,Not-in-family,Male,35,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,50,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,72,>50K
Married-civ-spouse,Transport-moving,Husband,Male,50,<=50K
Never-married,Sales,Own-child,Female,16,<=50K
Never-married,Handlers-cleaners,Unmarried,Female,35,<=50K
Never-married,Transport-moving,Not-in-family,Male,60,<=50K
Divorced,Craft-repair,Not-in-family,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,20,>50K
Divorced,Other-service,Own-child,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,50,<=50K
Divorced,Adm-clerical,Unmarried,Female,38,<=50K
Married-civ-spouse,Craft-repair,Wife,Female,30,>50K
Divorced,Exec-managerial,Not-in-family,Female,50,>50K
Married-civ-spouse,Exec-managerial,Wife,Female,40,>50K
Married-civ-spouse,Tech-support,Husband,Male,38,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Divorced,Craft-repair,Not-in-family,Male,45,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,48,>50K
Separated,Sales,Unmarried,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,60,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,70,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,55,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Divorced,Tech-support,Unmarried,Female,40,<=50K
Never-married,Other-service,Not-in-family,Male,40,<=50K
Never-married,Transport-moving,Own-child,Female,37,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,48,<=50K
Divorced,Other-service,Not-in-family,Female,16,<=50K
Never-married,Sales,Other-relative,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,45,>50K
Widowed,Machine-op-inspct,Not-in-family,Female,48,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Prof-specialty,Not-in-family,Female,50,>50K
Married-civ-spouse,Craft-repair,Husband,Male,50,<=50K
Never-married,Exec-managerial,Not-in-family,Male,50,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,<=50K
Never-married,Sales,Not-in-family,Female,40,<=50K
Never-married,Prof-specialty,Own-child,Male,10,<=50K
Never-married,Handlers-cleaners,Other-relative,Male,40,<=50K
Married-spouse-absent,Adm-clerical,Not-in-family,Male,40,<=50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Married-civ-spouse,Protective-serv,Husband,Male,40,<=50K
Divorced,Other-service,Not-in-family,Male,30,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,35,<=50K
Divorced,Sales,Own-child,Male,40,<=50K
Never-married,Exec-managerial,Not-in-family,Female,38,<=50K
Never-married,Machine-op-inspct,Not-in-family,Male,40,<=50K
Never-married,Adm-clerical,Not-in-family,Female,35,<=50K
Never-married,Exec-managerial,Not-in-family,Male,45,<=50K
Divorced,Tech-support,Not-in-family,Female,36,<=50K
Divorced,Sales,Not-in-family,Male,50,>50K
Married-civ-spouse,Farming-fishing,Husband,Male,40,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,noValueSetHere123156456,Unmarried,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,44,>50K
Separated,Prof-specialty,Not-in-family,Male,40,<=50K
Never-married,Other-service,Not-in-family,Male,40,<=50K
Divorced,Exec-managerial,Not-in-family,Male,50,>50K
Divorced,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Never-married,Exec-managerial,Not-in-family,Male,50,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,40,>50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,50,<=50K
Divorced,Sales,Not-in-family,Male,60,<=50K
Divorced,Adm-clerical,Other-relative,Female,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,43,<=50K
Divorced,Prof-specialty,Not-in-family,Female,16,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Other-relative,Female,40,<=50K
Divorced,Other-service,Not-in-family,Male,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Wife,Female,40,>50K
Never-married,Adm-clerical,Not-in-family,Female,38,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,<=50K
Never-married,Other-service,Other-relative,Female,20,<=50K
Never-married,Sales,Not-in-family,Female,30,<=50K
Never-married,Farming-fishing,Own-child,Female,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,45,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,<=50K
Never-married,Protective-serv,Not-in-family,Male,32,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,>50K
Never-married,Adm-clerical,Own-child,Male,10,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,60,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,35,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Never-married,Sales,Own-child,Female,42,<=50K
Married-civ-spouse,Sales,Husband,Male,55,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Never-married,Sales,Own-child,Male,15,<=50K
Never-married,Machine-op-inspct,Own-child,Male,43,<=50K
Divorced,Craft-repair,Not-in-family,Male,40,>50K
Divorced,Other-service,Unmarried,Female,32,<=50K
Married-spouse-absent,Transport-moving,Own-child,Male,45,<=50K
Never-married,Exec-managerial,Own-child,Male,40,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,35,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Never-married,Other-service,Own-child,Female,20,<=50K
Divorced,Prof-specialty,Not-in-family,Female,20,<=50K
Never-married,Machine-op-inspct,Not-in-family,Male,21,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-civ-spouse,Other-service,Husband,Male,30,<=50K
Never-married,Sales,Not-in-family,Male,43,<=50K
Never-married,Transport-moving,Own-child,Male,15,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Never-married,Other-service,Own-child,Female,15,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Sales,Not-in-family,Male,65,<=50K
Never-married,Sales,Own-child,Male,40,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,40,<=50K
Separated,Adm-clerical,Unmarried,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,48,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,44,>50K
Never-married,Adm-clerical,Own-child,Female,10,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Divorced,Prof-specialty,Not-in-family,Female,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Divorced,Machine-op-inspct,Unmarried,Female,40,<=50K
Never-married,Sales,Own-child,Male,40,<=50K
Never-married,Protective-serv,Own-child,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,40,>50K
Never-married,Sales,Own-child,Male,40,<=50K
Never-married,Prof-specialty,Own-child,Male,64,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Never-married,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,60,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,45,>50K
Never-married,Other-service,Own-child,Female,10,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Sales,Not-in-family,Male,50,<=50K
Married-civ-spouse,Sales,Husband,Male,99,>50K
Never-married,Prof-specialty,Own-child,Male,15,<=50K
Never-married,Prof-specialty,Not-in-family,Male,40,>50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Divorced,Prof-specialty,Not-in-family,Male,45,<=50K
Never-married,Adm-clerical,Own-child,Female,16,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Sales,Not-in-family,Female,40,<=50K
Never-married,Prof-specialty,Not-in-family,Female,4,<=50K
Never-married,Sales,Own-child,Male,15,<=50K
Never-married,Prof-specialty,Not-in-family,Male,40,>50K
Widowed,noValueSetHere123156456,Not-in-family,Female,30,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Never-married,Prof-specialty,Not-in-family,Male,40,>50K
Never-married,Sales,Not-in-family,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,50,>50K
Never-married,Prof-specialty,Unmarried,Female,40,<=50K
