H,I,N
Husband,Black,United-States
Husband,White,United-States
Own-child,Black,United-States
Unmarried,Black,noValueSetHere123156456
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,noValueSetHere123156456
Husband,White,United-States
Own-child,White,United-States
Husband,Other,United-States
Own-child,White,United-States
Own-child,White,United-States
Own-child,White,Peru
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Husband,White,Greece
Husband,White,United-States
Husband,Asian-Pac-Islander,India
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,Ireland
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,Black,Dominican-Republic
Not-in-family,Asian-Pac-Islander,United-States
Unmarried,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,Germany
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,Guatemala
Wife,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,Other,Dominican-Republic
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,noValueSetHere123156456
Unmarried,White,United-States
Wife,White,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Not-in-family,Asian-Pac-Islander,India
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,Germany
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,noValueSetHere123156456
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,Mexico
Wife,White,Puerto-Rico
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,Italy
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,Mexico
Not-in-family,Amer-Indian-Eskimo,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Asian-Pac-Islander,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Other-relative,Other,Ecuador
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Other,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Other-relative,Asian-Pac-Islander,Vietnam
Husband,Asian-Pac-Islander,India
Not-in-family,White,Guatemala
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Other-relative,Asian-Pac-Islander,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Own-child,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,Black,United-States
Unmarried,White,United-States
Not-in-family,Asian-Pac-Islander,India
Wife,White,United-States
Not-in-family,Asian-Pac-Islander,Hong
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Husband,White,Mexico
Other-relative,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Other-relative,Asian-Pac-Islander,India
Husband,White,United-States
Own-child,White,United-States
Husband,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Unmarried,Black,Trinadad&Tobago
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,Poland
Husband,White,United-States
Husband,White,Mexico
Husband,Asian-Pac-Islander,noValueSetHere123156456
Other-relative,White,Mexico
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,noValueSetHere123156456
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,Black,England
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Husband,Black,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Not-in-family,White,Mexico
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Other-relative,Asian-Pac-Islander,Philippines
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,Cuba
Other-relative,White,United-States
Husband,White,Mexico
Wife,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,Peru
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,Guatemala
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Unmarried,Black,United-States
Other-relative,White,United-States
Unmarried,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,noValueSetHere123156456
Husband,White,United-States
Husband,Black,United-States
Unmarried,Asian-Pac-Islander,United-States
Husband,White,Mexico
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Other-relative,Asian-Pac-Islander,United-States
Other-relative,White,United-States
Own-child,Asian-Pac-Islander,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,Philippines
Unmarried,Asian-Pac-Islander,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,White,noValueSetHere123156456
Own-child,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,noValueSetHere123156456
Other-relative,Asian-Pac-Islander,Philippines
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Other-relative,Asian-Pac-Islander,Vietnam
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Husband,White,Mexico
Unmarried,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Other-relative,Black,Haiti
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,Other,United-States
Wife,White,United-States
Own-child,White,El-Salvador
Not-in-family,White,United-States
Unmarried,Amer-Indian-Eskimo,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,Cambodia
Wife,White,United-States
Husband,Asian-Pac-Islander,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Own-child,White,Cuba
Husband,White,Mexico
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,Other,Puerto-Rico
Other-relative,White,Mexico
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,El-Salvador
Not-in-family,White,Canada
Not-in-family,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Own-child,White,United-States
Other-relative,White,United-States
Other-relative,White,Columbia
Not-in-family,Asian-Pac-Islander,United-States
Own-child,Black,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,noValueSetHere123156456
Husband,White,Cuba
Other-relative,White,United-States
Husband,White,United-States
Not-in-family,White,noValueSetHere123156456
Other-relative,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,Black,Trinadad&Tobago
Unmarried,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,Mexico
Husband,White,United-States
Own-child,White,United-States
Husband,Asian-Pac-Islander,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,Mexico
Husband,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Wife,White,United-States
Husband,Black,United-States
Husband,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,Other,noValueSetHere123156456
Husband,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Other-relative,Asian-Pac-Islander,noValueSetHere123156456
Not-in-family,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Amer-Indian-Eskimo,Mexico
Husband,White,United-States
Own-child,White,United-States
Husband,Black,United-States
Not-in-family,White,Scotland
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Wife,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,Philippines
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Wife,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Other-relative,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Other,Ecuador
Unmarried,White,United-States
Other-relative,Black,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,Black,Trinadad&Tobago
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Own-child,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,Asian-Pac-Islander,India
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,Dominican-Republic
Other-relative,Black,noValueSetHere123156456
Wife,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Other-relative,White,El-Salvador
Own-child,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Not-in-family,Black,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,noValueSetHere123156456
Husband,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,Amer-Indian-Eskimo,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,White,Mexico
Husband,White,United-States
Own-child,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Other-relative,White,El-Salvador
Husband,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,Asian-Pac-Islander,South
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Other-relative,Black,United-States
Not-in-family,Asian-Pac-Islander,Vietnam
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,Mexico
Husband,White,noValueSetHere123156456
Not-in-family,White,United-States
Own-child,White,France
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,Canada
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Husband,Other,Mexico
Husband,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Own-child,Asian-Pac-Islander,Philippines
Own-child,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Husband,Black,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,Greece
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,noValueSetHere123156456
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,Black,United-States
Unmarried,White,Mexico
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,White,Ecuador
Own-child,White,United-States
Other-relative,White,United-States
Other-relative,Asian-Pac-Islander,noValueSetHere123156456
Own-child,White,Mexico
Husband,White,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,Japan
Husband,Black,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Husband,White,noValueSetHere123156456
Not-in-family,White,United-States
Husband,Amer-Indian-Eskimo,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Unmarried,Asian-Pac-Islander,United-States
Husband,Black,United-States
Unmarried,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,Mexico
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,Mexico
Not-in-family,White,United-States
Husband,Black,Jamaica
Wife,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,Yugoslavia
Own-child,White,United-States
Own-child,White,United-States
Husband,White,noValueSetHere123156456
Not-in-family,White,United-States
Other-relative,White,England
Not-in-family,White,United-States
Other-relative,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Husband,White,Mexico
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,Mexico
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,France
Husband,White,United-States
Unmarried,White,Germany
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Husband,Black,Jamaica
Not-in-family,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Not-in-family,Asian-Pac-Islander,South
Husband,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Not-in-family,Asian-Pac-Islander,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,Germany
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,Asian-Pac-Islander,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,Black,noValueSetHere123156456
Husband,White,United-States
Husband,White,Philippines
Husband,White,El-Salvador
Unmarried,White,United-States
Own-child,Black,United-States
Not-in-family,White,United-States
Wife,Black,United-States
Unmarried,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Husband,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Husband,Asian-Pac-Islander,China
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,Asian-Pac-Islander,Philippines
Husband,Asian-Pac-Islander,United-States
Husband,Asian-Pac-Islander,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Other-relative,White,United-States
Other-relative,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Wife,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,noValueSetHere123156456
Husband,White,United-States
Other-relative,White,Mexico
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Unmarried,White,United-States
Not-in-family,White,Canada
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,Black,Jamaica
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,India
Own-child,White,United-States
Other-relative,Asian-Pac-Islander,Vietnam
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Husband,White,Puerto-Rico
Unmarried,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,Mexico
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Other-relative,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,noValueSetHere123156456
Husband,White,United-States
Not-in-family,Black,noValueSetHere123156456
Husband,Black,United-States
Own-child,White,United-States
Husband,White,Mexico
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,Mexico
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Wife,White,United-States
Own-child,White,United-States
Own-child,Black,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,Italy
Husband,White,United-States
Husband,White,United-States
Own-child,White,Guatemala
Own-child,Asian-Pac-Islander,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,India
Husband,White,United-States
Own-child,Black,United-States
Own-child,White,United-States
Husband,White,Mexico
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,Black,noValueSetHere123156456
Other-relative,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,Black,United-States
Unmarried,White,United-States
Other-relative,White,Columbia
Not-in-family,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,Mexico
Unmarried,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
