A,F,H,J
45,Married-civ-spouse,Husband,Male
27,Never-married,Not-in-family,Female
61,Married-civ-spouse,Husband,Male
41,Never-married,Not-in-family,Male
22,Never-married,Own-child,Male
55,Married-civ-spouse,Husband,Male
66,Married-civ-spouse,Husband,Male
25,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Female
20,Never-married,Other-relative,Female
67,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
29,Never-married,Not-in-family,Male
48,Never-married,Unmarried,Female
25,Never-married,Other-relative,Female
31,Divorced,Unmarried,Female
48,Married-spouse-absent,Unmarried,Female
40,Divorced,Not-in-family,Male
26,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Own-child,Female
52,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Wife,Female
48,Never-married,Not-in-family,Female
19,Never-married,Not-in-family,Female
27,Married-civ-spouse,Husband,Male
59,Married-civ-spouse,Husband,Male
19,Never-married,Other-relative,Male
32,Never-married,Own-child,Male
39,Never-married,Other-relative,Male
33,Married-civ-spouse,Husband,Male
38,Never-married,Not-in-family,Male
27,Never-married,Own-child,Male
23,Never-married,Own-child,Female
59,Divorced,Not-in-family,Male
25,Never-married,Not-in-family,Male
37,Married-civ-spouse,Husband,Male
31,Married-civ-spouse,Husband,Male
24,Never-married,Own-child,Female
53,Divorced,Unmarried,Female
26,Never-married,Other-relative,Male
25,Married-civ-spouse,Wife,Female
59,Never-married,Not-in-family,Male
39,Divorced,Unmarried,Female
28,Never-married,Own-child,Male
22,Never-married,Not-in-family,Male
20,Never-married,Other-relative,Male
25,Never-married,Own-child,Female
27,Never-married,Unmarried,Male
20,Never-married,Unmarried,Male
63,Widowed,Not-in-family,Female
43,Divorced,Unmarried,Male
39,Divorced,Not-in-family,Female
27,Never-married,Not-in-family,Male
17,Never-married,Own-child,Female
40,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Female
60,Married-civ-spouse,Husband,Male
30,Never-married,Not-in-family,Female
24,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Female
24,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
58,Married-civ-spouse,Husband,Male
22,Never-married,Other-relative,Male
41,Never-married,Not-in-family,Male
48,Married-civ-spouse,Husband,Male
31,Divorced,Other-relative,Male
33,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
38,Never-married,Not-in-family,Male
58,Married-civ-spouse,Husband,Male
58,Divorced,Not-in-family,Female
61,Married-civ-spouse,Husband,Male
58,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
33,Divorced,Not-in-family,Male
28,Separated,Not-in-family,Female
22,Never-married,Own-child,Female
35,Married-civ-spouse,Husband,Male
59,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
56,Widowed,Not-in-family,Female
36,Never-married,Not-in-family,Male
18,Never-married,Own-child,Male
28,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
60,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
52,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
26,Married-civ-spouse,Husband,Male
31,Divorced,Unmarried,Female
47,Separated,Unmarried,Female
35,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Male
59,Married-civ-spouse,Wife,Female
38,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
35,Never-married,Not-in-family,Female
39,Married-civ-spouse,Husband,Male
64,Separated,Not-in-family,Male
17,Never-married,Own-child,Female
49,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Female
36,Married-civ-spouse,Wife,Female
26,Never-married,Not-in-family,Male
27,Never-married,Other-relative,Female
66,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
25,Never-married,Other-relative,Female
19,Never-married,Not-in-family,Female
30,Never-married,Not-in-family,Male
22,Never-married,Unmarried,Male
60,Divorced,Own-child,Male
54,Married-civ-spouse,Husband,Male
46,Separated,Not-in-family,Male
33,Never-married,Own-child,Male
51,Divorced,Not-in-family,Female
43,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Female
60,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Female
39,Never-married,Not-in-family,Female
40,Never-married,Not-in-family,Male
48,Married-civ-spouse,Husband,Male
24,Never-married,Other-relative,Male
32,Divorced,Not-in-family,Male
31,Married-civ-spouse,Husband,Male
39,Never-married,Not-in-family,Male
27,Never-married,Own-child,Female
45,Never-married,Not-in-family,Male
22,Divorced,Other-relative,Female
31,Never-married,Not-in-family,Male
63,Divorced,Not-in-family,Female
45,Married-civ-spouse,Husband,Male
28,Separated,Unmarried,Female
23,Never-married,Own-child,Female
50,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Male
27,Never-married,Not-in-family,Male
29,Married-civ-spouse,Husband,Male
36,Divorced,Unmarried,Female
60,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
67,Widowed,Not-in-family,Female
20,Never-married,Own-child,Female
23,Never-married,Own-child,Male
38,Married-civ-spouse,Husband,Male
60,Married-civ-spouse,Husband,Male
20,Never-married,Not-in-family,Female
37,Widowed,Unmarried,Female
37,Never-married,Unmarried,Male
58,Married-civ-spouse,Husband,Male
25,Never-married,Own-child,Male
27,Never-married,Unmarried,Female
33,Married-civ-spouse,Husband,Male
43,Divorced,Not-in-family,Female
21,Never-married,Own-child,Male
45,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
52,Married-civ-spouse,Husband,Male
53,Divorced,Not-in-family,Male
31,Never-married,Own-child,Female
18,Never-married,Own-child,Male
20,Never-married,Own-child,Female
32,Never-married,Not-in-family,Male
48,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Husband,Male
27,Never-married,Not-in-family,Male
18,Never-married,Own-child,Female
69,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Wife,Female
32,Divorced,Unmarried,Female
43,Separated,Not-in-family,Female
52,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
35,Divorced,Not-in-family,Female
20,Never-married,Own-child,Female
73,Widowed,Not-in-family,Female
46,Divorced,Own-child,Female
58,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
40,Never-married,Not-in-family,Male
25,Never-married,Own-child,Male
22,Never-married,Not-in-family,Female
33,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
62,Divorced,Unmarried,Female
56,Divorced,Not-in-family,Male
24,Never-married,Unmarried,Female
42,Never-married,Not-in-family,Female
41,Divorced,Unmarried,Female
23,Never-married,Not-in-family,Male
22,Never-married,Own-child,Male
35,Never-married,Other-relative,Male
42,Married-spouse-absent,Other-relative,Male
22,Never-married,Own-child,Male
32,Married-civ-spouse,Husband,Male
25,Never-married,Own-child,Male
66,Divorced,Not-in-family,Female
26,Married-civ-spouse,Husband,Male
46,Divorced,Own-child,Male
55,Married-civ-spouse,Husband,Male
24,Married-civ-spouse,Husband,Male
25,Never-married,Unmarried,Male
22,Never-married,Not-in-family,Female
31,Never-married,Not-in-family,Male
30,Divorced,Not-in-family,Female
54,Never-married,Not-in-family,Male
19,Never-married,Own-child,Female
56,Divorced,Not-in-family,Female
47,Married-civ-spouse,Husband,Male
29,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Husband,Male
22,Never-married,Unmarried,Female
50,Married-civ-spouse,Husband,Male
42,Divorced,Not-in-family,Female
21,Never-married,Other-relative,Male
36,Never-married,Not-in-family,Female
60,Married-civ-spouse,Husband,Male
69,Widowed,Not-in-family,Female
31,Married-civ-spouse,Husband,Male
48,Divorced,Unmarried,Female
23,Never-married,Not-in-family,Female
24,Separated,Unmarried,Male
47,Married-civ-spouse,Husband,Male
36,Never-married,Unmarried,Female
39,Married-civ-spouse,Husband,Male
22,Never-married,Not-in-family,Female
27,Never-married,Not-in-family,Male
36,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
33,Divorced,Unmarried,Female
42,Married-civ-spouse,Husband,Male
52,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Male
33,Married-civ-spouse,Husband,Male
30,Divorced,Not-in-family,Female
35,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Wife,Female
27,Never-married,Own-child,Male
24,Never-married,Own-child,Male
44,Married-civ-spouse,Husband,Male
62,Separated,Not-in-family,Female
45,Married-civ-spouse,Husband,Male
75,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
64,Married-civ-spouse,Husband,Male
54,Divorced,Not-in-family,Male
41,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Female
51,Divorced,Not-in-family,Male
45,Never-married,Not-in-family,Male
18,Never-married,Own-child,Male
43,Married-civ-spouse,Husband,Male
30,Never-married,Own-child,Male
32,Divorced,Own-child,Female
45,Married-civ-spouse,Husband,Male
61,Divorced,Not-in-family,Female
21,Married-civ-spouse,Other-relative,Male
56,Divorced,Not-in-family,Male
28,Never-married,Other-relative,Male
23,Never-married,Own-child,Female
55,Married-civ-spouse,Husband,Male
27,Married-civ-spouse,Husband,Male
33,Never-married,Not-in-family,Male
22,Never-married,Own-child,Female
43,Married-civ-spouse,Husband,Male
32,Divorced,Unmarried,Female
38,Married-civ-spouse,Wife,Female
18,Never-married,Own-child,Male
35,Married-civ-spouse,Husband,Male
67,Widowed,Not-in-family,Female
29,Divorced,Own-child,Female
19,Never-married,Not-in-family,Male
39,Married-civ-spouse,Husband,Male
29,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
34,Never-married,Not-in-family,Male
52,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Male
64,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
43,Divorced,Unmarried,Male
49,Never-married,Unmarried,Male
35,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
19,Separated,Own-child,Female
22,Never-married,Own-child,Male
31,Never-married,Own-child,Male
26,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Wife,Female
33,Married-civ-spouse,Husband,Male
24,Separated,Unmarried,Female
18,Never-married,Own-child,Male
32,Widowed,Unmarried,Female
27,Divorced,Not-in-family,Female
28,Married-civ-spouse,Husband,Male
30,Never-married,Not-in-family,Male
33,Never-married,Not-in-family,Male
74,Divorced,Not-in-family,Female
36,Never-married,Not-in-family,Male
36,Married-civ-spouse,Husband,Male
29,Married-civ-spouse,Wife,Female
39,Divorced,Unmarried,Female
25,Never-married,Not-in-family,Male
21,Separated,Own-child,Male
39,Never-married,Unmarried,Female
38,Divorced,Not-in-family,Female
20,Never-married,Not-in-family,Female
51,Divorced,Not-in-family,Male
21,Never-married,Unmarried,Female
36,Never-married,Not-in-family,Female
50,Separated,Unmarried,Female
38,Married-civ-spouse,Husband,Male
25,Never-married,Not-in-family,Female
23,Never-married,Own-child,Female
36,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
34,Never-married,Not-in-family,Female
19,Never-married,Own-child,Male
18,Never-married,Own-child,Female
36,Divorced,Own-child,Male
46,Married-civ-spouse,Husband,Male
29,Never-married,Own-child,Male
23,Never-married,Not-in-family,Female
35,Married-civ-spouse,Husband,Male
35,Never-married,Own-child,Male
40,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Male
19,Never-married,Own-child,Female
70,Married-civ-spouse,Husband,Male
38,Divorced,Not-in-family,Male
35,Married-civ-spouse,Husband,Male
25,Never-married,Own-child,Female
39,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
29,Separated,Unmarried,Female
20,Never-married,Own-child,Male
21,Never-married,Not-in-family,Female
47,Married-civ-spouse,Wife,Female
44,Divorced,Unmarried,Female
17,Never-married,Own-child,Male
25,Never-married,Not-in-family,Male
43,Never-married,Not-in-family,Female
46,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
46,Divorced,Not-in-family,Male
22,Never-married,Not-in-family,Female
49,Married-civ-spouse,Husband,Male
21,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Wife,Female
43,Divorced,Unmarried,Male
22,Never-married,Own-child,Male
33,Never-married,Not-in-family,Female
28,Never-married,Own-child,Female
25,Never-married,Unmarried,Female
40,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
48,Divorced,Unmarried,Male
30,Married-civ-spouse,Husband,Male
33,Married-spouse-absent,Unmarried,Female
34,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
29,Married-civ-spouse,Husband,Male
33,Never-married,Not-in-family,Male
64,Divorced,Not-in-family,Male
44,Married-civ-spouse,Wife,Female
42,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
25,Married-civ-spouse,Husband,Male
33,Never-married,Not-in-family,Female
38,Married-civ-spouse,Husband,Male
20,Never-married,Not-in-family,Female
44,Never-married,Not-in-family,Male
45,Married-civ-spouse,Husband,Male
27,Never-married,Not-in-family,Male
18,Never-married,Own-child,Male
38,Divorced,Unmarried,Male
45,Married-civ-spouse,Husband,Male
27,Never-married,Not-in-family,Male
64,Widowed,Not-in-family,Female
66,Married-civ-spouse,Husband,Male
34,Never-married,Not-in-family,Female
45,Married-civ-spouse,Husband,Male
42,Divorced,Not-in-family,Male
32,Married-civ-spouse,Husband,Male
26,Never-married,Not-in-family,Male
27,Never-married,Other-relative,Male
21,Never-married,Other-relative,Female
23,Never-married,Own-child,Male
47,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Female
46,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Wife,Female
55,Married-civ-spouse,Husband,Male
28,Never-married,Own-child,Female
21,Never-married,Own-child,Female
36,Never-married,Not-in-family,Male
29,Divorced,Not-in-family,Female
38,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
81,Widowed,Other-relative,Male
41,Divorced,Not-in-family,Female
29,Never-married,Own-child,Female
30,Divorced,Not-in-family,Female
25,Never-married,Not-in-family,Male
42,Never-married,Unmarried,Female
30,Divorced,Own-child,Male
65,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Male
26,Never-married,Unmarried,Male
30,Never-married,Own-child,Male
61,Married-civ-spouse,Husband,Male
21,Never-married,Not-in-family,Male
53,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Wife,Female
43,Married-civ-spouse,Husband,Male
60,Separated,Unmarried,Female
47,Married-civ-spouse,Husband,Male
48,Divorced,Not-in-family,Male
32,Never-married,Unmarried,Female
25,Never-married,Not-in-family,Female
31,Never-married,Unmarried,Male
33,Never-married,Not-in-family,Male
27,Married-civ-spouse,Husband,Male
44,Divorced,Unmarried,Female
44,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
34,Divorced,Not-in-family,Male
51,Married-civ-spouse,Husband,Male
51,Divorced,Unmarried,Male
25,Married-civ-spouse,Husband,Male
25,Never-married,Not-in-family,Female
29,Married-AF-spouse,Husband,Male
36,Never-married,Not-in-family,Male
55,Divorced,Not-in-family,Female
39,Divorced,Unmarried,Female
31,Divorced,Not-in-family,Male
31,Married-civ-spouse,Husband,Male
51,Never-married,Own-child,Female
30,Never-married,Other-relative,Male
62,Never-married,Not-in-family,Female
37,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
27,Divorced,Not-in-family,Male
32,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Male
35,Married-civ-spouse,Husband,Male
46,Never-married,Unmarried,Female
45,Divorced,Unmarried,Male
27,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
22,Married-civ-spouse,Wife,Female
37,Divorced,Unmarried,Female
42,Married-civ-spouse,Husband,Male
45,Divorced,Unmarried,Female
33,Married-civ-spouse,Husband,Male
46,Married-spouse-absent,Unmarried,Male
24,Never-married,Own-child,Male
56,Separated,Not-in-family,Female
34,Never-married,Not-in-family,Female
50,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Wife,Female
55,Married-civ-spouse,Husband,Male
41,Divorced,Not-in-family,Female
66,Married-civ-spouse,Husband,Male
29,Never-married,Not-in-family,Female
37,Married-civ-spouse,Wife,Female
63,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
64,Divorced,Unmarried,Male
35,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Female
58,Married-civ-spouse,Husband,Male
58,Married-civ-spouse,Husband,Male
24,Never-married,Own-child,Female
34,Divorced,Unmarried,Female
33,Never-married,Not-in-family,Female
33,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Female
27,Married-civ-spouse,Other-relative,Male
20,Never-married,Own-child,Female
52,Divorced,Unmarried,Female
30,Divorced,Not-in-family,Male
22,Never-married,Not-in-family,Male
20,Never-married,Not-in-family,Female
64,Divorced,Not-in-family,Female
49,Married-civ-spouse,Husband,Male
38,Divorced,Not-in-family,Female
46,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Male
45,Married-civ-spouse,Husband,Male
27,Never-married,Own-child,Female
45,Divorced,Unmarried,Female
26,Divorced,Not-in-family,Male
23,Never-married,Own-child,Female
44,Divorced,Unmarried,Male
36,Divorced,Not-in-family,Male
35,Never-married,Not-in-family,Female
24,Married-civ-spouse,Wife,Female
56,Married-spouse-absent,Unmarried,Female
47,Divorced,Not-in-family,Male
32,Married-civ-spouse,Husband,Male
29,Never-married,Own-child,Female
55,Married-spouse-absent,Not-in-family,Female
35,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Wife,Female
34,Divorced,Not-in-family,Male
24,Never-married,Own-child,Male
25,Never-married,Not-in-family,Female
31,Never-married,Not-in-family,Male
38,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
67,Divorced,Not-in-family,Female
34,Married-civ-spouse,Wife,Female
46,Married-civ-spouse,Wife,Female
19,Never-married,Own-child,Female
26,Never-married,Own-child,Female
28,Never-married,Not-in-family,Male
47,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
30,Never-married,Own-child,Female
18,Never-married,Own-child,Male
60,Married-civ-spouse,Husband,Male
44,Never-married,Not-in-family,Male
81,Married-civ-spouse,Husband,Male
43,Never-married,Not-in-family,Female
35,Never-married,Not-in-family,Male
58,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
40,Married-civ-spouse,Husband,Male
32,Never-married,Own-child,Female
21,Never-married,Own-child,Female
44,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
25,Never-married,Own-child,Female
42,Divorced,Not-in-family,Male
27,Never-married,Own-child,Male
62,Married-civ-spouse,Husband,Male
31,Never-married,Not-in-family,Male
33,Never-married,Other-relative,Female
50,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
22,Never-married,Unmarried,Female
66,Married-civ-spouse,Husband,Male
52,Never-married,Unmarried,Female
57,Widowed,Other-relative,Female
41,Divorced,Not-in-family,Male
42,Married-civ-spouse,Husband,Male
19,Never-married,Other-relative,Female
45,Divorced,Unmarried,Female
51,Married-civ-spouse,Husband,Male
69,Divorced,Unmarried,Female
45,Married-civ-spouse,Husband,Male
48,Divorced,Not-in-family,Female
60,Married-civ-spouse,Husband,Male
42,Never-married,Own-child,Female
19,Never-married,Own-child,Female
39,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
58,Married-civ-spouse,Husband,Male
36,Divorced,Unmarried,Female
21,Never-married,Unmarried,Male
41,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Female
29,Married-civ-spouse,Husband,Male
52,Divorced,Not-in-family,Female
33,Married-civ-spouse,Husband,Male
38,Never-married,Unmarried,Female
42,Married-civ-spouse,Husband,Male
24,Married-civ-spouse,Husband,Male
59,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
26,Married-spouse-absent,Other-relative,Female
50,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Wife,Female
31,Widowed,Not-in-family,Female
56,Never-married,Not-in-family,Female
28,Married-civ-spouse,Wife,Female
34,Married-civ-spouse,Husband,Male
28,Never-married,Not-in-family,Female
41,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Husband,Male
26,Never-married,Not-in-family,Male
37,Never-married,Not-in-family,Male
64,Married-civ-spouse,Husband,Male
25,Divorced,Unmarried,Female
48,Married-civ-spouse,Husband,Male
47,Divorced,Not-in-family,Female
17,Never-married,Other-relative,Female
44,Married-civ-spouse,Husband,Male
46,Divorced,Not-in-family,Female
32,Divorced,Not-in-family,Male
42,Married-civ-spouse,Husband,Male
33,Divorced,Not-in-family,Male
61,Divorced,Not-in-family,Female
47,Married-civ-spouse,Husband,Male
35,Never-married,Not-in-family,Female
62,Married-civ-spouse,Husband,Male
62,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Female
33,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Wife,Female
17,Never-married,Own-child,Male
58,Married-civ-spouse,Husband,Male
35,Separated,Not-in-family,Female
34,Married-civ-spouse,Husband,Male
55,Divorced,Unmarried,Female
32,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Male
41,Married-civ-spouse,Husband,Male
24,Divorced,Unmarried,Female
52,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
32,Divorced,Not-in-family,Female
47,Divorced,Unmarried,Female
38,Married-civ-spouse,Wife,Female
18,Never-married,Own-child,Male
25,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Wife,Female
40,Divorced,Not-in-family,Female
56,Married-civ-spouse,Husband,Male
50,Divorced,Unmarried,Female
55,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
28,Never-married,Not-in-family,Female
53,Married-civ-spouse,Husband,Male
26,Married-civ-spouse,Wife,Female
60,Separated,Unmarried,Female
21,Never-married,Own-child,Male
29,Married-civ-spouse,Husband,Male
73,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Wife,Female
36,Divorced,Own-child,Female
25,Never-married,Other-relative,Female
38,Married-civ-spouse,Husband,Male
30,Divorced,Unmarried,Female
49,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
27,Married-civ-spouse,Husband,Male
64,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
51,Separated,Unmarried,Female
35,Divorced,Unmarried,Female
61,Married-civ-spouse,Husband,Male
52,Divorced,Own-child,Female
40,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
52,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
49,Divorced,Unmarried,Female
36,Never-married,Unmarried,Female
33,Never-married,Unmarried,Male
40,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Female
47,Married-civ-spouse,Wife,Female
24,Never-married,Not-in-family,Male
19,Never-married,Not-in-family,Female
40,Divorced,Not-in-family,Female
40,Never-married,Not-in-family,Female
54,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
63,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Female
19,Never-married,Other-relative,Male
49,Married-civ-spouse,Husband,Male
27,Married-civ-spouse,Husband,Male
49,Divorced,Not-in-family,Female
60,Married-civ-spouse,Husband,Male
71,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Husband,Male
29,Married-civ-spouse,Wife,Female
30,Married-civ-spouse,Husband,Male
46,Never-married,Own-child,Male
32,Married-civ-spouse,Husband,Male
25,Never-married,Not-in-family,Male
25,Never-married,Unmarried,Male
22,Married-AF-spouse,Wife,Female
32,Married-civ-spouse,Husband,Male
40,Married-civ-spouse,Wife,Female
51,Never-married,Not-in-family,Male
20,Never-married,Own-child,Male
34,Divorced,Not-in-family,Female
40,Never-married,Not-in-family,Male
34,Never-married,Unmarried,Female
19,Never-married,Own-child,Male
53,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
64,Married-civ-spouse,Husband,Male
30,Never-married,Not-in-family,Male
20,Married-civ-spouse,Own-child,Male
19,Never-married,Own-child,Female
20,Never-married,Other-relative,Male
35,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
38,Divorced,Unmarried,Female
50,Married-civ-spouse,Wife,Female
23,Divorced,Own-child,Female
30,Never-married,Own-child,Female
33,Separated,Unmarried,Female
48,Divorced,Not-in-family,Male
43,Divorced,Unmarried,Female
33,Never-married,Not-in-family,Male
50,Married-civ-spouse,Husband,Male
23,Married-civ-spouse,Husband,Male
36,Divorced,Not-in-family,Male
50,Divorced,Unmarried,Female
26,Married-civ-spouse,Wife,Female
55,Married-civ-spouse,Wife,Female
37,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Husband,Male
51,Widowed,Not-in-family,Female
51,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
62,Married-civ-spouse,Husband,Male
31,Never-married,Unmarried,Female
29,Married-civ-spouse,Wife,Female
23,Never-married,Not-in-family,Male
40,Divorced,Not-in-family,Female
66,Married-civ-spouse,Husband,Male
17,Never-married,Not-in-family,Female
37,Married-civ-spouse,Husband,Male
69,Married-civ-spouse,Husband,Male
23,Never-married,Not-in-family,Female
38,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
38,Divorced,Not-in-family,Female
38,Married-civ-spouse,Husband,Male
37,Never-married,Not-in-family,Female
37,Married-civ-spouse,Husband,Male
23,Never-married,Unmarried,Male
17,Never-married,Own-child,Female
48,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Female
55,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
68,Married-civ-spouse,Wife,Female
35,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
36,Never-married,Own-child,Male
24,Separated,Unmarried,Female
45,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Wife,Female
56,Never-married,Not-in-family,Female
36,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Male
19,Never-married,Other-relative,Male
33,Never-married,Own-child,Male
48,Never-married,Not-in-family,Female
