A,D,E,F,G,H,I,J,K,L,M,N,P,Q,U,V,X
MS,U,LE3,T,1,1,at_home,services,course,father,2,3,no,no,yes,yes,5
MS,R,LE3,A,1,4,at_home,other,course,mother,3,2,no,no,yes,no,4
MS,R,LE3,T,1,1,at_home,other,other,mother,2,2,no,no,no,no,4
MS,U,GT3,T,3,3,services,services,other,mother,2,2,no,yes,yes,yes,4
MS,U,LE3,T,4,4,at_home,at_home,course,mother,1,2,no,yes,yes,yes,2
MS,R,GT3,T,1,2,other,services,course,father,2,2,no,no,yes,no,3
MS,R,GT3,T,1,3,at_home,other,course,mother,2,2,no,yes,yes,no,3
MS,U,LE3,T,4,4,teacher,services,other,mother,2,3,no,no,yes,yes,4
MS,R,GT3,T,1,1,other,services,reputation,mother,3,1,no,yes,yes,yes,5
MS,U,GT3,T,2,3,at_home,services,course,father,2,1,no,yes,yes,yes,5
MS,R,GT3,T,4,4,other,teacher,other,father,3,2,no,yes,yes,yes,3
MS,U,LE3,T,3,2,services,services,home,other,2,2,no,no,yes,no,3
MS,R,LE3,T,1,2,at_home,services,other,father,3,1,no,yes,no,yes,4
MS,U,GT3,T,2,2,other,at_home,home,mother,1,3,no,no,yes,no,3
MS,R,GT3,T,1,2,other,other,course,mother,1,1,no,no,yes,yes,3
MS,R,LE3,T,4,4,other,other,reputation,mother,2,3,no,no,yes,yes,5
MS,R,GT3,T,1,1,other,other,home,mother,4,3,no,no,yes,yes,4
MS,U,GT3,T,4,2,health,other,course,other,2,3,no,yes,yes,yes,5
MS,R,LE3,T,4,4,teacher,services,course,mother,1,2,no,no,yes,yes,5
MS,U,GT3,T,3,3,other,other,home,mother,1,2,no,no,yes,yes,4
MS,R,GT3,T,3,1,at_home,other,reputation,mother,1,2,no,yes,yes,yes,4
MS,U,GT3,T,4,4,teacher,teacher,home,father,1,2,no,no,yes,yes,3
MS,R,GT3,T,2,1,other,other,other,mother,2,1,no,no,yes,yes,4
MS,U,GT3,T,2,3,other,services,home,father,2,2,no,no,yes,yes,4
MS,R,GT3,T,1,1,other,services,other,mother,2,1,no,no,yes,no,4
MS,R,GT3,T,4,2,other,other,home,father,2,1,no,no,yes,no,5
MS,R,GT3,T,2,2,at_home,other,other,mother,2,3,no,no,yes,no,5
MS,R,GT3,T,4,4,teacher,at_home,reputation,mother,3,1,no,yes,yes,yes,4
MS,R,GT3,T,2,3,services,other,course,mother,1,3,no,no,yes,yes,5
MS,U,LE3,T,3,1,teacher,services,course,mother,1,2,no,yes,yes,yes,4
MS,U,GT3,T,1,1,other,other,course,mother,2,2,no,no,yes,no,1
MS,U,LE3,A,2,2,services,services,course,other,1,2,no,yes,yes,no,5
MS,U,LE3,T,3,1,services,services,course,mother,2,1,no,no,yes,yes,2
MS,R,GT3,T,1,1,other,other,course,other,1,1,no,no,yes,no,5
MS,R,LE3,T,3,2,services,other,course,mother,3,1,no,no,yes,yes,4
MS,U,LE3,T,1,1,other,at_home,course,father,1,1,no,no,yes,yes,3
