F,H,I,J,K,N
Separated,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Separated,Unmarried,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Divorced,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Separated,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Asian-Pac-Islander,Female,0,South
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,Asian-Pac-Islander,Female,0,Japan
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Widowed,Own-child,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Not-in-family,Asian-Pac-Islander,Female,0,Philippines
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Separated,Unmarried,White,Female,0,Dominican-Republic
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,White,Female,8614,France
Married-civ-spouse,Other-relative,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Separated,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,Asian-Pac-Islander,Female,0,Philippines
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,Black,Female,0,United-States
Married-civ-spouse,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,3137,United-States
Divorced,Unmarried,Black,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,7688,United-States
Never-married,Other-relative,Black,Female,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,3411,Mexico
Married-civ-spouse,Husband,White,Male,0,England
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,5178,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-spouse-absent,Unmarried,White,Male,0,Columbia
Never-married,Own-child,Asian-Pac-Islander,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Unmarried,White,Female,0,United-States
Married-civ-spouse,Wife,Black,Female,0,United-States
Separated,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,99999,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,Japan
Married-civ-spouse,Husband,Other,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,El-Salvador
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,7688,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Separated,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Male,7430,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,Mexico
Never-married,Own-child,White,Male,0,United-States
Never-married,Other-relative,Black,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-spouse-absent,Own-child,Other,Female,0,Dominican-Republic
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Other-relative,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Widowed,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Portugal
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Cuba
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,Amer-Indian-Eskimo,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,Asian-Pac-Islander,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,Dominican-Republic
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Other-relative,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,Mexico
Divorced,Not-in-family,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,Peru
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Unmarried,Black,Female,0,Jamaica
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Other-relative,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Divorced,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Own-child,White,Male,14344,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,99999,United-States
Never-married,Not-in-family,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,Mexico
Divorced,Not-in-family,Other,Male,0,Iran
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,Black,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Own-child,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-spouse-absent,Unmarried,Amer-Indian-Eskimo,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,Other,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Divorced,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Divorced,Not-in-family,White,Female,8614,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,2829,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Separated,Own-child,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,Vietnam
Never-married,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Other-relative,White,Male,3325,United-States
Never-married,Other-relative,Black,Male,2176,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,5013,United-States
Never-married,Own-child,White,Female,1055,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,3411,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Unmarried,Black,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Asian-Pac-Islander,Male,0,Philippines
Married-civ-spouse,Own-child,White,Female,7298,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,Germany
Never-married,Not-in-family,Other,Female,0,Japan
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,Black,Female,0,United-States
Widowed,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Other-relative,Asian-Pac-Islander,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,99999,noValueSetHere123156456
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Canada
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7298,United-States
Separated,Unmarried,White,Female,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Separated,Unmarried,White,Female,0,Germany
Divorced,Not-in-family,White,Female,0,United-States
Separated,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Other-relative,Asian-Pac-Islander,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Canada
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,China
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Divorced,Unmarried,White,Male,0,United-States
Never-married,Not-in-family,White,Male,13550,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Other-relative,White,Female,0,United-States
Married-civ-spouse,Other-relative,Asian-Pac-Islander,Male,0,Cambodia
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Other-relative,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Never-married,Other-relative,White,Female,0,United-States
Never-married,Unmarried,White,Female,0,Germany
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Own-child,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,Italy
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,1055,United-States
Married-civ-spouse,Husband,White,Male,7298,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,10520,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,Black,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Other-relative,Asian-Pac-Islander,Male,4101,noValueSetHere123156456
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,5178,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Separated,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,20051,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,Philippines
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,15024,Vietnam
Never-married,Own-child,Asian-Pac-Islander,Female,0,China
Never-married,Own-child,White,Female,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,noValueSetHere123156456
Never-married,Other-relative,White,Male,0,Guatemala
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Own-child,White,Male,0,United-States
Never-married,Own-child,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Never-married,Unmarried,Black,Female,0,Jamaica
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,United-States
Never-married,Not-in-family,Other,Male,0,noValueSetHere123156456
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Germany
Never-married,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,99999,United-States
Separated,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Separated,Not-in-family,Amer-Indian-Eskimo,Male,0,Hong
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,7688,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,noValueSetHere123156456
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Other-relative,Other,Male,0,Nicaragua
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-spouse-absent,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Widowed,Unmarried,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,Italy
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,Asian-Pac-Islander,Female,0,United-States
Never-married,Own-child,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,Black,Female,0,United-States
