B,F,G,H,J,K,L,O
Local-gov,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
Private,Never-married,Tech-support,Other-relative,Female,0,0,<=50K
State-gov,Divorced,Prof-specialty,Not-in-family,Female,0,0,>50K
Local-gov,Never-married,Protective-serv,Not-in-family,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Own-child,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Male,0,0,<=50K
Private,Never-married,Protective-serv,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Male,0,0,<=50K
Private,Divorced,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Self-emp-inc,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Never-married,Farming-fishing,Own-child,Female,0,0,<=50K
Private,Widowed,Other-service,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Divorced,Other-service,Unmarried,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,2246,>50K
Self-emp-not-inc,Divorced,Exec-managerial,Not-in-family,Male,0,1876,<=50K
Federal-gov,Never-married,Adm-clerical,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,99999,0,>50K
Private,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Local-gov,Never-married,Other-service,Unmarried,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
Private,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Private,Never-married,Priv-house-serv,Unmarried,Female,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Sales,Husband,Male,0,1902,>50K
Private,Never-married,Machine-op-inspct,Other-relative,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-spouse-absent,Prof-specialty,Not-in-family,Male,0,0,<=50K
Private,Widowed,Adm-clerical,Unmarried,Female,0,2258,>50K
State-gov,Never-married,Craft-repair,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Divorced,Other-service,Not-in-family,Male,0,0,<=50K
Private,Divorced,Farming-fishing,Unmarried,Male,0,0,<=50K
Self-emp-not-inc,Never-married,Farming-fishing,Not-in-family,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
Local-gov,Never-married,Transport-moving,Not-in-family,Female,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
noValueSetHere123156456,Divorced,noValueSetHere123156456,Not-in-family,Female,0,0,<=50K
noValueSetHere123156456,Widowed,noValueSetHere123156456,Not-in-family,Female,0,0,<=50K
State-gov,Married-spouse-absent,Protective-serv,Own-child,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
State-gov,Married-civ-spouse,Protective-serv,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Wife,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Divorced,Exec-managerial,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,2051,<=50K
Local-gov,Divorced,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Self-emp-not-inc,Divorced,Exec-managerial,Unmarried,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Divorced,Exec-managerial,Unmarried,Female,0,0,>50K
Private,Never-married,Prof-specialty,Own-child,Female,0,0,<=50K
Private,Separated,Craft-repair,Unmarried,Female,0,0,<=50K
State-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,>50K
Local-gov,Married-civ-spouse,Protective-serv,Husband,Male,0,0,>50K
Private,Never-married,Adm-clerical,Unmarried,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Never-married,Craft-repair,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Never-married,Other-service,Own-child,Male,0,1602,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,1902,>50K
Private,Widowed,Exec-managerial,Not-in-family,Male,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,>50K
Local-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Unmarried,Female,0,0,<=50K
Local-gov,Married-spouse-absent,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Widowed,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Separated,Adm-clerical,Unmarried,Male,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Private,Divorced,Other-service,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,1485,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Separated,Other-service,Unmarried,Female,0,0,<=50K
Federal-gov,Never-married,Machine-op-inspct,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Wife,Female,0,0,>50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Private,Divorced,Other-service,Unmarried,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Widowed,Other-service,Not-in-family,Female,991,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
State-gov,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Divorced,Other-service,Unmarried,Female,0,0,<=50K
Federal-gov,Never-married,Exec-managerial,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,7298,0,>50K
Private,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,6418,0,>50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Private,Never-married,Farming-fishing,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,1902,>50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,>50K
Private,Divorced,Prof-specialty,Unmarried,Female,0,0,<=50K
Federal-gov,Divorced,Adm-clerical,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,Male,7688,0,>50K
Federal-gov,Married-spouse-absent,Adm-clerical,Unmarried,Female,1471,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,7688,0,>50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Divorced,Adm-clerical,Not-in-family,Male,0,0,<=50K
Private,Separated,Sales,Not-in-family,Female,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Unmarried,Female,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Female,0,0,<=50K
Private,Never-married,Farming-fishing,Other-relative,Male,0,0,<=50K
Private,Separated,Machine-op-inspct,Own-child,Male,0,0,<=50K
Self-emp-not-inc,Never-married,Sales,Own-child,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,3908,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Protective-serv,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,>50K
Private,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,<=50K
Private,Divorced,Exec-managerial,Unmarried,Male,0,0,>50K
Private,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Divorced,Other-service,Unmarried,Female,0,0,<=50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Widowed,Sales,Unmarried,Female,0,0,<=50K
Private,Separated,Sales,Own-child,Male,2597,0,<=50K
Private,Married-civ-spouse,Protective-serv,Husband,Male,0,1902,>50K
Private,Never-married,Exec-managerial,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Divorced,Craft-repair,Unmarried,Male,2354,0,<=50K
Self-emp-inc,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Widowed,Prof-specialty,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Male,0,0,<=50K
Private,Divorced,Sales,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Sales,Other-relative,Male,0,0,<=50K
Private,Never-married,Sales,Other-relative,Male,1055,0,<=50K
Local-gov,Married-civ-spouse,Prof-specialty,Husband,Male,99999,0,>50K
Private,Married-civ-spouse,Adm-clerical,Wife,Female,0,1579,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Female,0,0,<=50K
State-gov,Divorced,Craft-repair,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,1848,>50K
Private,Divorced,Transport-moving,Not-in-family,Male,0,0,<=50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Never-married,Farming-fishing,Own-child,Male,0,0,<=50K
Private,Divorced,Craft-repair,Own-child,Female,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Unmarried,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,<=50K
Private,Divorced,Sales,Unmarried,Female,0,0,<=50K
Private,Never-married,Prof-specialty,Own-child,Male,0,0,<=50K
Private,Married-spouse-absent,Other-service,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,5178,0,>50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Divorced,Machine-op-inspct,Unmarried,Male,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,2907,0,<=50K
Private,Never-married,Machine-op-inspct,Other-relative,Male,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,<=50K
Private,Divorced,Other-service,Unmarried,Female,0,0,<=50K
Private,Divorced,Sales,Unmarried,Female,0,0,<=50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Handlers-cleaners,Wife,Female,0,0,<=50K
Private,Never-married,Craft-repair,Own-child,Male,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Male,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Never-married,Other-service,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,3137,0,<=50K
Private,Married-civ-spouse,Tech-support,Husband,Male,5013,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Other-relative,Female,0,0,<=50K
Private,Never-married,Farming-fishing,Other-relative,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
noValueSetHere123156456,Divorced,noValueSetHere123156456,Unmarried,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Widowed,Other-service,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,1977,>50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Male,0,1340,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Private,Separated,Other-service,Unmarried,Female,0,0,<=50K
Private,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Private,Divorced,Prof-specialty,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Own-child,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Male,0,0,<=50K
Private,Married-spouse-absent,Sales,Not-in-family,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Female,0,0,<=50K
Local-gov,Never-married,Protective-serv,Not-in-family,Male,0,1564,>50K
Private,Never-married,Prof-specialty,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Wife,Female,3781,0,<=50K
Self-emp-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,5178,0,>50K
Local-gov,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Divorced,Craft-repair,Not-in-family,Male,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Federal-gov,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,5178,0,>50K
Private,Separated,Craft-repair,Unmarried,Female,0,0,<=50K
Private,Widowed,Adm-clerical,Unmarried,Female,0,0,<=50K
Federal-gov,Married-civ-spouse,Tech-support,Husband,Male,0,0,>50K
Private,Divorced,Prof-specialty,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Private,Separated,Tech-support,Unmarried,Female,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Male,0,0,<=50K
Private,Divorced,Other-service,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,>50K
Private,Divorced,Sales,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Divorced,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Divorced,Craft-repair,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Federal-gov,Married-civ-spouse,Exec-managerial,Husband,Male,7688,0,>50K
Private,Married-civ-spouse,Protective-serv,Husband,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Own-child,Male,0,0,<=50K
Local-gov,Divorced,Exec-managerial,Not-in-family,Female,4650,0,<=50K
State-gov,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
Local-gov,Divorced,Exec-managerial,Not-in-family,Male,0,0,<=50K
Local-gov,Divorced,Prof-specialty,Not-in-family,Female,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Not-in-family,Female,0,0,<=50K
Private,Separated,Other-service,Unmarried,Female,0,0,<=50K
Self-emp-inc,Divorced,Sales,Unmarried,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Local-gov,Never-married,Transport-moving,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
State-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,7298,0,>50K
Private,Divorced,Exec-managerial,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,1902,>50K
Private,Separated,Other-service,Own-child,Female,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Local-gov,Never-married,Prof-specialty,Own-child,Female,0,0,<=50K
Private,Separated,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,<=50K
State-gov,Married-civ-spouse,Adm-clerical,Husband,Male,0,1485,<=50K
Self-emp-inc,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Sales,Husband,Male,3103,0,>50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,>50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
State-gov,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,<=50K
State-gov,Widowed,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,2414,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,>50K
Private,Married-AF-spouse,Transport-moving,Husband,Male,0,0,<=50K
Self-emp-not-inc,Divorced,Other-service,Not-in-family,Female,0,0,<=50K
Local-gov,Divorced,Prof-specialty,Unmarried,Female,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Wife,Female,0,1977,>50K
Private,Divorced,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Private,Divorced,Sales,Not-in-family,Male,0,0,>50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,0,>50K
State-gov,Never-married,Protective-serv,Other-relative,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Protective-serv,Husband,Male,0,0,<=50K
Private,Divorced,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Never-married,Farming-fishing,Not-in-family,Male,0,0,>50K
Private,Never-married,Exec-managerial,Not-in-family,Male,0,1564,>50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,>50K
Local-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
Private,Divorced,Craft-repair,Unmarried,Male,0,0,>50K
Private,Separated,Transport-moving,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Sales,Husband,Male,2653,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,20051,0,>50K
Private,Never-married,Sales,Own-child,Male,0,0,<=50K
Private,Never-married,Tech-support,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Wife,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Never-married,Other-service,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Divorced,Other-service,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Protective-serv,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Female,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Male,99999,0,>50K
Private,Never-married,Sales,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,>50K
Private,Never-married,Farming-fishing,Other-relative,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Own-child,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Federal-gov,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
State-gov,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Divorced,Exec-managerial,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Own-child,Female,0,0,<=50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,15024,0,>50K
Private,Married-spouse-absent,Exec-managerial,Unmarried,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
State-gov,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Never-married,Other-service,Not-in-family,Male,0,1408,<=50K
Private,Married-spouse-absent,Transport-moving,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Never-married,Farming-fishing,Not-in-family,Male,0,0,<=50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Never-married,Transport-moving,Own-child,Male,0,0,<=50K
State-gov,Divorced,Adm-clerical,Unmarried,Female,1831,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,>50K
Private,Never-married,Prof-specialty,Not-in-family,Male,0,0,<=50K
