G,N,S
CA,Heart Failure,CA_HF-3
CA,Pneumonia,CA_PN-6
AL,Pneumonia,AL_PN-2
CA,Heart Failure,CA_HF-3
AL,Pneumonia,AL_PN-6
AL,Pneumonia,AL_PN-2
AZ,Heart Attack,AZ_AMI-4
AL,Pneumonia,AL_PN-7
AZ,Surgical Infection Prevention,AZ_SCIP-CARD-2
AZ,Heart Failure,AZ_HF-3
AL,Pneumonia,AL_PN-2
AR,Heart Failure,AR_HF-1
AR,Heart Failure,AR_HF-1
AL,Pneumonia,AL_PN-4
AL,Pneumonia,AL_PN-4
CA,Heart Failure,CA_HF-4
AZ,Heart Attack,AZ_AMI-8A
AZ,Heart Failure,AZ_HF-3
AL,Pneumonia,AL_PN-6
AL,Surgical Infection Prevention,AL_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
AZ,Heart Attack,AZ_AMI-4
AL,Pneumonia,AL_PN-7
AZ,Pneumonia,AZ_PN-5C
AZ,Surgical Infection Prevention,AZ_SCIP-CARD-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Heart Failure,CA_HF-3
AL,Heart Failure,AL_HF-1
CA,Heart Failure,CA_HF-1
AL,Pneumonia,AL_PN-6
AL,Pneumonia,AL_PN-2
AZ,Pneumonia,AZ_PN-4
AL,Surgical Infection Prevention,AL_SCIP-INF-2
CA,Heart Failure,CA_HF-4
AL,Pneumonia,AL_PN-7
AL,Pneumonia,AL_PN-7
AZ,Heart Failure,AZ_HF-4
CA,Heart Failure,CA_HF-4
AK,Pneumonia,AK_PN-2
AZ,Heart Attack,AZ_AMI-8A
AL,Pneumonia,AL_PN-6
AZ,Pneumonia,AZ_PN-5C
AK,Pneumonia,AK_PN-2
CA,Pneumonia,CA_PN-4
CA,Pneumonia,CA_PN-4
AR,Pneumonia,AR_PN-6
CA,Heart Failure,CA_HF-3
AZ,Heart Attack,AZ_AMI-8A
AZ,Heart Failure,AZ_HF-4
AZ,Heart Failure,AZ_HF-3
AZ,Surgical Infection Prevention,AZ_SCIP-CARD-2
CA,Heart Failure,CA_HF-4
AR,Pneumonia,AR_PN-6
AR,Heart Failure,AR_HF-1
AK,Pneumonia,AK_PN-3B
AL,Pneumonia,AL_PN-6
AL,Heart Failure,AL_HF-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
AL,Surgical Infection Prevention,AL_SCIP-INF-1
CA,Heart Failure,CA_HF-1
AL,Pneumonia,AL_PN-2
AL,Heart Failure,AL_HF-1
AZ,Heart Attack,AZ_AMI-4
CA,Heart Failure,CA_HF-4
AK,Pneumonia,AK_PN-3B
CA,Heart Failure,CA_HF-4
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Heart Failure,CA_HF-4
AL,Pneumonia,AL_PN-6
CA,Pneumonia,CA_PN-6
AZ,Heart Attack,AZ_AMI-8A
AZ,Heart Attack,AZ_AMI-8A
AL,Pneumonia,AL_PN-6
AZ,Heart Failure,AZ_HF-3
AZ,Surgical Infection Prevention,AZ_SCIP-CARD-2
AZ,Pneumonia,AZ_PN-4
AZ,Heart Attack,AZ_AMI-4
CA,Pneumonia,CA_PN-4
AZ,Heart Failure,AZ_HF-4
CA,Pneumonia,CA_PN-4
AK,Pneumonia,AK_PN-3B
CA,Heart Failure,CA_HF-1
CA,Heart Failure,CA_HF-3
AL,Pneumonia,AL_PN-6
AL,Pneumonia,AL_PN-4
CA,Heart Failure,CA_HF-4
CA,Heart Failure,CA_HF-4
AZ,Heart Attack,AZ_AMI-4
AL,Pneumonia,AL_PN-6
AL,Pneumonia,AL_PN-6
CA,Heart Failure,CA_HF-4
CA,Heart Failure,CA_HF-3
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AK,Pneumonia,AK_PN-2
AZ,Heart Attack,AZ_AMI-8A
AL,Pneumonia,AL_PN-4
AL,Heart Failure,AL_HF-1
CA,Heart Failure,CA_HF-4
AL,Surgical Infection Prevention,AL_SCIP-INF-2
CA,Heart Failure,CA_HF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-2
AZ,Heart Attack,AZ_AMI-8A
CA,Pneumonia,CA_PN-6
AL,Surgical Infection Prevention,AL_SCIP-INF-1
AL,Pneumonia,AL_PN-7
AL,Pneumonia,AL_PN-6
AK,Pneumonia,AK_PN-3B
AL,Pneumonia,AL_PN-2
AZ,Heart Failure,AZ_HF-4
AL,Surgical Infection Prevention,AL_SCIP-INF-1
AZ,Pneumonia,AZ_PN-5C
CA,Heart Failure,CA_HF-4
AK,Pneumonia,AK_PN-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Heart Failure,CA_HF-4
AZ,Surgical Infection Prevention,AZ_SCIP-CARD-2
AZ,Heart Failure,AZ_HF-4
CA,Heart Failure,CA_HF-4
AZ,Heart Attack,AZ_AMI-4
AZ,Heart Failure,AZ_HF-4
CA,Heart Failure,CA_HF-3
AZ,Surgical Infection Prevention,AZ_SCIP-CARD-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
AZ,Heart Failure,AZ_HF-4
AZ,Surgical Infection Prevention,AZ_SCIP-CARD-2
AL,Pneumonia,AL_PN-6
AL,Pneumonia,AL_PN-4
AZ,Heart Attack,AZ_AMI-8A
CA,Heart Failure,CA_HF-3
CA,Heart Failure,CA_HF-4
CA,Pneumonia,CA_PN-4
AL,Pneumonia,AL_PN-7
CA,Heart Failure,CA_HF-1
AL,Pneumonia,AL_PN-6
CA,Pneumonia,CA_PN-6
AZ,Heart Failure,AZ_HF-4
AZ,Pneumonia,AZ_PN-5C
AZ,Surgical Infection Prevention,AZ_SCIP-CARD-2
CA,Pneumonia,CA_PN-6
AL,Pneumonia,AL_PN-6
AZ,Heart Failure,AZ_HF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-1
AZ,Pneumonia,AZ_PN-4
AZ,Pneumonia,AZ_PN-5C
AL,Pneumonia,AL_PN-6
AZ,Heart Attack,AZ_AMI-8A
CA,Heart Failure,CA_HF-4
CA,Heart Failure,CA_HF-1
AL,Pneumonia,AL_PN-4
AZ,Surgical Infection Prevention,AZ_SCIP-CARD-2
AR,Heart Failure,AR_HF-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AZ,Heart Attack,AZ_AMI-8A
CA,Pneumonia,CA_PN-6
AL,Pneumonia,AL_PN-6
CA,Heart Failure,CA_HF-4
AL,Pneumonia,AL_PN-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Pneumonia,CA_PN-6
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Heart Failure,AZ_HF-4
AL,Pneumonia,AL_PN-7
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Pneumonia,CA_PN-6
AL,Pneumonia,AL_PN-2
CA,Heart Failure,CA_HF-4
AL,Pneumonia,AL_PN-2
AL,Pneumonia,AL_PN-6
AL,Surgical Infection Prevention,AL_SCIP-INF-2
AR,Heart Failure,AR_HF-1
AL,Pneumonia,AL_PN-2
AZ,Heart Failure,AZ_HF-4
AK,Pneumonia,AK_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Heart Failure,AL_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Heart Failure,AL_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Heart Failure,AL_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Heart Failure,AL_HF-1
AL,Heart Failure,AL_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Heart Failure,AL_HF-1
AL,Heart Failure,AL_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Heart Failure,AL_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Heart Failure,AL_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Heart Failure,AL_HF-1
AL,Heart Failure,AL_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Heart Failure,AL_HF-1
AL,Heart Failure,AL_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Heart Failure,AL_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Heart Failure,AL_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Pneumonia,AZ_PN-2
CA,Heart Failure,CA_HF-4
CA,Heart Attack,CA_AMI-5
CA,Heart Attack,CA_AMI-8A
AL,Heart Attack,AL_AMI-3
AR,Pneumonia,AR_PN-2
AR,Pneumonia,AR_PN-5C
CA,Heart Failure,CA_HF-4
CA,Heart Failure,CA_HF-4
AL,Pneumonia,AL_PN-6
AZ,Heart Failure,AZ_HF-4
AR,Heart Attack,AR_AMI-8A
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-1
AL,Heart Attack,AL_AMI-3
AL,Heart Failure,AL_HF-2
AR,Pneumonia,AR_PN-5C
AL,Heart Failure,AL_HF-4
AR,Pneumonia,AR_PN-5C
AR,Pneumonia,AR_PN-6
AZ,Pneumonia,AZ_PN-2
AR,Pneumonia,AR_PN-5C
AZ,Pneumonia,AZ_PN-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AZ,Heart Attack,AZ_AMI-4
AL,Pneumonia,AL_PN-3B
CA,Heart Attack,CA_AMI-8A
CA,Heart Failure,CA_HF-4
AR,Pneumonia,AR_PN-5C
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-2
AL,Heart Attack,AL_AMI-3
CA,Heart Attack,CA_AMI-8A
CA,Heart Failure,CA_HF-4
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AZ,Pneumonia,AZ_PN-2
CA,Heart Failure,CA_HF-4
CA,Heart Failure,CA_HF-4
AL,Pneumonia,AL_PN-7
CA,Heart Failure,CA_HF-4
AZ,Heart Attack,AZ_AMI-5
AZ,Heart Failure,AZ_HF-4
AZ,Heart Attack,AZ_AMI-4
AZ,Pneumonia,AZ_PN-2
AR,Heart Attack,AR_AMI-3
AZ,Heart Failure,AZ_HF-4
AL,Heart Attack,AL_AMI-3
AZ,Heart Failure,AZ_HF-4
AZ,Heart Attack,AZ_AMI-4
AZ,Pneumonia,AZ_PN-4
CA,Heart Attack,CA_AMI-3
CA,Heart Attack,CA_AMI-3
AL,Pneumonia,AL_PN-6
AL,Heart Failure,AL_HF-2
AL,Pneumonia,AL_PN-7
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AR,Heart Attack,AR_AMI-4
AR,Pneumonia,AR_PN-5C
AZ,Heart Failure,AZ_HF-4
AR,Pneumonia,AR_PN-5C
AZ,Heart Failure,AZ_HF-4
AZ,Heart Attack,AZ_AMI-4
AL,Heart Attack,AL_AMI-3
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-1
AR,Surgical Infection Prevention,AR_SCIP-INF-1
AL,Pneumonia,AL_PN-6
AR,Heart Attack,AR_AMI-4
AL,Pneumonia,AL_PN-7
AZ,Heart Attack,AZ_AMI-4
AR,Pneumonia,AR_PN-2
CA,Pneumonia,CA_PN-6
AZ,Heart Attack,AZ_AMI-4
CA,Heart Failure,CA_HF-4
AL,Pneumonia,AL_PN-3B
CA,Heart Attack,CA_AMI-3
CA,Heart Attack,CA_AMI-5
AL,Pneumonia,AL_PN-6
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AR,Pneumonia,AR_PN-6
AZ,Heart Attack,AZ_AMI-5
AZ,Heart Failure,AZ_HF-3
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AZ,Heart Failure,AZ_HF-4
AR,Pneumonia,AR_PN-3B
AZ,Heart Attack,AZ_AMI-5
CA,Heart Attack,CA_AMI-8A
AL,Pneumonia,AL_PN-3B
AZ,Heart Attack,AZ_AMI-8A
AZ,Heart Failure,AZ_HF-4
AL,Pneumonia,AL_PN-6
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
CA,Pneumonia,CA_PN-6
AZ,Heart Attack,AZ_AMI-5
AZ,Heart Attack,AZ_AMI-4
AZ,Heart Attack,AZ_AMI-8A
CA,Heart Failure,CA_HF-4
AR,Heart Attack,AR_AMI-8A
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AL,Heart Failure,AL_HF-4
AR,Heart Attack,AR_AMI-3
CA,Heart Attack,CA_AMI-8A
CA,Heart Failure,CA_HF-4
CA,Pneumonia,CA_PN-6
AL,Pneumonia,AL_PN-6
AZ,Pneumonia,AZ_PN-4
CA,Heart Attack,CA_AMI-8A
AZ,Pneumonia,AZ_PN-4
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-1
CA,Heart Attack,CA_AMI-3
AR,Heart Attack,AR_AMI-8A
AR,Heart Attack,AR_AMI-8A
AL,Heart Failure,AL_HF-2
AR,Pneumonia,AR_PN-2
CA,Heart Attack,CA_AMI-8A
CA,Heart Attack,CA_AMI-8A
AR,Pneumonia,AR_PN-3B
AL,Heart Failure,AL_HF-4
AL,Heart Failure,AL_HF-4
CA,Heart Attack,CA_AMI-8A
AZ,Pneumonia,AZ_PN-2
AZ,Pneumonia,AZ_PN-2
AR,Pneumonia,AR_PN-2
AL,Pneumonia,AL_PN-3B
AR,Pneumonia,AR_PN-2
AR,Surgical Infection Prevention,AR_SCIP-INF-1
AZ,Heart Attack,AZ_AMI-8A
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-INF-2
CA,Heart Attack,CA_AMI-8A
AL,Heart Attack,AL_AMI-3
AZ,Heart Attack,AZ_AMI-4
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AZ,Pneumonia,AZ_PN-2
AL,Heart Failure,AL_HF-4
CA,Heart Attack,CA_AMI-8A
CA,Heart Attack,CA_AMI-5
AR,Surgical Infection Prevention,AR_SCIP-INF-2
AR,Pneumonia,AR_PN-6
AR,Pneumonia,AR_PN-2
AZ,Pneumonia,AZ_PN-4
CA,Heart Failure,CA_HF-4
AR,Pneumonia,AR_PN-2
CA,Heart Failure,CA_HF-4
AZ,Pneumonia,AZ_PN-2
AR,Heart Attack,AR_AMI-4
AR,Heart Attack,AR_AMI-4
AZ,Pneumonia,AZ_PN-4
AR,Pneumonia,AR_PN-2
CA,Heart Failure,CA_HF-4
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-1
AZ,Heart Attack,AZ_AMI-8A
CA,Heart Failure,CA_HF-4
CA,Heart Failure,CA_HF-4
AZ,Heart Attack,AZ_AMI-5
AR,Heart Attack,AR_AMI-3
AL,Heart Failure,AL_HF-2
AL,Pneumonia,AL_PN-6
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-INF-1
AL,Pneumonia,AL_PN-3B
AL,Heart Failure,AL_HF-2
AR,Heart Attack,AR_AMI-3
AZ,Heart Attack,AZ_AMI-5
AR,Pneumonia,AR_PN-2
AR,Heart Attack,AR_AMI-3
CA,Heart Failure,CA_HF-4
AZ,Heart Attack,AZ_AMI-8A
AR,Pneumonia,AR_PN-5C
AZ,Heart Failure,AZ_HF-4
AR,Pneumonia,AR_PN-2
AZ,Heart Attack,AZ_AMI-5
AZ,Heart Attack,AZ_AMI-5
AZ,Pneumonia,AZ_PN-4
CA,Heart Attack,CA_AMI-5
AR,Surgical Infection Prevention,AR_SCIP-INF-2
AR,Surgical Infection Prevention,AR_SCIP-INF-2
AL,Heart Failure,AL_HF-2
AR,Surgical Infection Prevention,AR_SCIP-INF-1
AR,Surgical Infection Prevention,AR_SCIP-INF-2
CA,Heart Attack,CA_AMI-8A
AZ,Heart Failure,AZ_HF-3
AR,Pneumonia,AR_PN-3B
CA,Heart Attack,CA_AMI-4
CA,Heart Attack,CA_AMI-5
AR,Heart Attack,AR_AMI-8A
AL,Heart Failure,AL_HF-2
AL,Heart Failure,AL_HF-4
AL,Heart Failure,AL_HF-4
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-1
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-1
AZ,Heart Attack,AZ_AMI-8A
CA,Heart Failure,CA_HF-4
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AR,Heart Attack,AR_AMI-8A
AR,Pneumonia,AR_PN-3B
AR,Pneumonia,AR_PN-2
AL,Heart Attack,AL_AMI-3
CA,Heart Attack,CA_AMI-3
CA,Heart Attack,CA_AMI-3
AR,Surgical Infection Prevention,AR_SCIP-INF-1
CA,Heart Attack,CA_AMI-8A
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AZ,Heart Attack,AZ_AMI-8A
AL,Pneumonia,AL_PN-6
AL,Heart Failure,AL_HF-2
AZ,Pneumonia,AZ_PN-2
AZ,Pneumonia,AZ_PN-2
AZ,Heart Attack,AZ_AMI-8A
AZ,Pneumonia,AZ_PN-4
AR,Pneumonia,AR_PN-2
AR,Pneumonia,AR_PN-6
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-2
AR,Pneumonia,AR_PN-3B
AZ,Heart Attack,AZ_AMI-8A
AZ,Pneumonia,AZ_PN-2
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-1
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AR,Heart Attack,AR_AMI-8A
AR,Surgical Infection Prevention,AR_SCIP-INF-2
AR,Surgical Infection Prevention,AR_SCIP-INF-1
CA,Heart Attack,CA_AMI-8A
AZ,Heart Attack,AZ_AMI-4
AR,Heart Attack,AR_AMI-4
AZ,Heart Failure,AZ_HF-3
AR,Surgical Infection Prevention,AR_SCIP-INF-1
AL,Pneumonia,AL_PN-3B
AR,Surgical Infection Prevention,AR_SCIP-INF-1
AR,Pneumonia,AR_PN-5C
AL,Pneumonia,AL_PN-7
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-2
AL,Pneumonia,AL_PN-6
AR,Pneumonia,AR_PN-2
CA,Heart Failure,CA_HF-4
CA,Heart Failure,CA_HF-4
AR,Heart Attack,AR_AMI-3
AL,Heart Failure,AL_HF-2
CA,Heart Attack,CA_AMI-5
AZ,Pneumonia,AZ_PN-4
CA,Heart Attack,CA_AMI-4
AL,Pneumonia,AL_PN-7
AZ,Heart Failure,AZ_HF-4
AZ,Heart Failure,AZ_HF-3
CA,Heart Attack,CA_AMI-8A
AZ,Heart Attack,AZ_AMI-4
AL,Heart Failure,AL_HF-4
AL,Heart Failure,AL_HF-2
AZ,Heart Attack,AZ_AMI-4
AR,Pneumonia,AR_PN-2
CA,Heart Attack,CA_AMI-5
AL,Pneumonia,AL_PN-7
CA,Heart Failure,CA_HF-4
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-1
AZ,Heart Attack,AZ_AMI-4
AZ,Heart Attack,AZ_AMI-4
CA,Heart Attack,CA_AMI-4
AZ,Heart Attack,AZ_AMI-4
AL,Heart Attack,AL_AMI-3
CA,Heart Attack,CA_AMI-4
AL,Heart Failure,AL_HF-4
AR,Heart Attack,AR_AMI-3
AZ,Heart Failure,AZ_HF-4
AZ,Pneumonia,AZ_PN-2
AL,Pneumonia,AL_PN-6
AZ,Pneumonia,AZ_PN-4
CA,Heart Failure,CA_HF-4
AL,Heart Attack,AL_AMI-3
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AR,Heart Attack,AR_AMI-4
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AR,Pneumonia,AR_PN-6
CA,Heart Attack,CA_AMI-8A
AR,Pneumonia,AR_PN-6
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AR,Heart Attack,AR_AMI-4
AR,Pneumonia,AR_PN-2
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-1
CA,Heart Failure,CA_HF-4
AZ,Heart Failure,AZ_HF-4
AL,Pneumonia,AL_PN-6
CA,Heart Attack,CA_AMI-3
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AR,Pneumonia,AR_PN-2
AR,Pneumonia,AR_PN-3B
CA,Heart Failure,CA_HF-4
AR,Heart Attack,AR_AMI-4
AR,Pneumonia,AR_PN-2
AL,Heart Failure,AL_HF-2
AR,Heart Attack,AR_AMI-8A
AZ,Pneumonia,AZ_PN-2
CA,Pneumonia,CA_PN-6
AR,Pneumonia,AR_PN-5C
AZ,Heart Failure,AZ_HF-3
AR,Surgical Infection Prevention,AR_SCIP-INF-1
AZ,Pneumonia,AZ_PN-2
AZ,Heart Attack,AZ_AMI-8A
AL,Heart Failure,AL_HF-2
CA,Heart Attack,CA_AMI-8A
AR,Surgical Infection Prevention,AR_SCIP-INF-2
AR,Surgical Infection Prevention,AR_SCIP-INF-2
CA,Pneumonia,CA_PN-6
AR,Pneumonia,AR_PN-6
AL,Heart Failure,AL_HF-4
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AR,Pneumonia,AR_PN-2
AZ,Heart Failure,AZ_HF-4
AR,Pneumonia,AR_PN-5C
CA,Heart Attack,CA_AMI-8A
CA,Heart Attack,CA_AMI-3
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AR,Pneumonia,AR_PN-2
AR,Surgical Infection Prevention,AR_SCIP-INF-1
AZ,Pneumonia,AZ_PN-2
CA,Heart Failure,CA_HF-4
