B,D,E,F,G,H,I,J,N,O
Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-not-inc,5th-6th,3,Married-civ-spouse,Other-service,Wife,White,Female,Mexico,<=50K
Private,12th,8,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
State-gov,Masters,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-not-inc,5th-6th,3,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Male,United-States,<=50K
Private,11th,7,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Other-service,Other-relative,Other,Female,Ecuador,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,Doctorate,16,Widowed,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
Self-emp-inc,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
State-gov,Some-college,10,Never-married,Tech-support,Unmarried,Black,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Local-gov,Some-college,10,Divorced,Protective-serv,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,United-States,<=50K
Private,7th-8th,4,Never-married,Sales,Own-child,White,Male,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Unmarried,Black,Female,United-States,<=50K
Private,11th,7,Widowed,Other-service,Not-in-family,White,Female,United-States,<=50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Other-relative,Asian-Pac-Islander,Male,Vietnam,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,India,<=50K
Private,1st-4th,2,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,10th,6,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Local-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,United-States,<=50K
Private,Assoc-voc,11,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
noValueSetHere123156456,10th,6,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,10th,6,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Female,United-States,<=50K
Private,Assoc-acdm,12,Divorced,Exec-managerial,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
Private,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,United-States,>50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Local-gov,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Black,Female,United-States,>50K
Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K
Self-emp-not-inc,Masters,14,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,India,>50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,Hong,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
noValueSetHere123156456,HS-grad,9,Never-married,noValueSetHere123156456,Not-in-family,White,Female,United-States,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Federal-gov,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Male,United-States,<=50K
Self-emp-inc,Some-college,10,Widowed,Sales,Not-in-family,White,Female,United-States,>50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
noValueSetHere123156456,11th,7,Never-married,noValueSetHere123156456,Not-in-family,Black,Male,United-States,<=50K
Self-emp-not-inc,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,Mexico,>50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,United-States,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Local-gov,12th,8,Widowed,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,India,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Divorced,Other-service,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Federal-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,Black,Female,United-States,<=50K
Local-gov,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
Private,7th-8th,4,Never-married,Other-service,Unmarried,Black,Female,Trinadad&Tobago,<=50K
Without-pay,Some-college,10,Married-spouse-absent,Farming-fishing,Unmarried,White,Female,United-States,<=50K
Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,Poland,>50K
Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,Mexico,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,noValueSetHere123156456,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,Mexico,<=50K
Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,noValueSetHere123156456,<=50K
Private,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,England,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,United-States,<=50K
Private,Assoc-acdm,12,Separated,Sales,Unmarried,White,Male,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Married-civ-spouse,noValueSetHere123156456,Wife,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
State-gov,Bachelors,13,Widowed,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Separated,Craft-repair,Unmarried,Black,Male,United-States,<=50K
Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Private,10th,6,Never-married,Handlers-cleaners,Other-relative,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Black,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Handlers-cleaners,Other-relative,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K
Federal-gov,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Female,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,5th-6th,3,Never-married,Transport-moving,Not-in-family,White,Male,Mexico,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,United-States,<=50K
Local-gov,HS-grad,9,Widowed,Protective-serv,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Divorced,Tech-support,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Farming-fishing,Unmarried,White,Male,United-States,<=50K
Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,Philippines,<=50K
noValueSetHere123156456,HS-grad,9,Divorced,noValueSetHere123156456,Not-in-family,White,Female,United-States,<=50K
State-gov,Masters,14,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,Cuba,>50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,Mexico,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,United-States,>50K
noValueSetHere123156456,Assoc-acdm,12,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Tech-support,Not-in-family,Black,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,Peru,>50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,Guatemala,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
noValueSetHere123156456,Assoc-acdm,12,Never-married,noValueSetHere123156456,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Separated,Craft-repair,Unmarried,Black,Male,United-States,<=50K
Private,Bachelors,13,Divorced,Machine-op-inspct,Other-relative,White,Male,United-States,<=50K
Private,11th,7,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Local-gov,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,United-States,>50K
Private,Some-college,10,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,noValueSetHere123156456,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,<=50K
Local-gov,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Asian-Pac-Islander,Male,United-States,<=50K
Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Mexico,<=50K
Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Assoc-voc,11,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Other-relative,White,Male,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Divorced,noValueSetHere123156456,Own-child,Asian-Pac-Islander,Male,United-States,<=50K
Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,Philippines,>50K
Private,HS-grad,9,Separated,Transport-moving,Unmarried,Asian-Pac-Islander,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
State-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,noValueSetHere123156456,<=50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,White,Male,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,United-States,>50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,noValueSetHere123156456,>50K
Private,7th-8th,4,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Female,Philippines,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Male,Vietnam,<=50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Not-in-family,White,Female,United-States,<=50K
Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,10th,6,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-inc,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Male,United-States,<=50K
Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,United-States,<=50K
State-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
noValueSetHere123156456,Some-college,10,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
Private,Some-college,10,Separated,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,White,Female,United-States,<=50K
Private,Bachelors,13,Separated,Other-service,Unmarried,Black,Female,United-States,<=50K
Private,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,Mexico,<=50K
Private,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Other-relative,Black,Female,Haiti,<=50K
Federal-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Private,7th-8th,4,Divorced,Craft-repair,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,United-States,>50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
Private,9th,5,Never-married,Handlers-cleaners,Own-child,White,Male,El-Salvador,<=50K
Private,Some-college,10,Separated,Sales,Not-in-family,White,Male,United-States,<=50K
State-gov,Some-college,10,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Protective-serv,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Some-college,10,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,>50K
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,10th,6,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,Cambodia,>50K
Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Priv-house-serv,Not-in-family,White,Female,United-States,<=50K
Private,11th,7,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
Private,Masters,14,Never-married,Protective-serv,Not-in-family,White,Male,United-States,<=50K
Private,Masters,14,Divorced,Exec-managerial,Unmarried,Black,Female,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,Cuba,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,Mexico,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
State-gov,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Farming-fishing,Not-in-family,Other,Male,Puerto-Rico,<=50K
Local-gov,12th,8,Married-civ-spouse,Other-service,Other-relative,White,Female,Mexico,<=50K
Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
Private,9th,5,Never-married,Other-service,Own-child,White,Female,El-Salvador,<=50K
Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,Canada,<=50K
Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,United-States,<=50K
Self-emp-not-inc,9th,5,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,Columbia,<=50K
noValueSetHere123156456,Bachelors,13,Never-married,noValueSetHere123156456,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K
Private,Some-college,10,Never-married,Exec-managerial,Own-child,Black,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,noValueSetHere123156456,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,Cuba,>50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,United-States,<=50K
State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,noValueSetHere123156456,<=50K
Private,Some-college,10,Never-married,Prof-specialty,Other-relative,White,Female,United-States,<=50K
Private,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
